VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;687;Tranås;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;687;Tranås;ANDOPARTIET; ;1602;;
KF;687;Tranås;Arbetarepartiet-Socialdemokraterna;S;2;29.935327405012124;https://www.socialdemokraterna.se/
KF;687;Tranås;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;687;Tranås;Centerpartiet;C;4;7.8658043654001615;https://www.centerpartiet.se/
KF;687;Tranås;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;687;Tranås;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;687;Tranås;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;687;Tranås;Enad Politik; ;1589;;
KF;687;Tranås;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;687;Tranås;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;687;Tranås;EUSEC; ;1534;;
KF;687;Tranås;Feministiskt initiativ;FI;532;0.10509296685529508;https://feministisktinitiativ.se/
KF;687;Tranås;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;687;Tranås;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;687;Tranås;Fredspartiet; ;1484;;
KF;687;Tranås;Fria Wermland; ;1548;;https://friawermland.se/
KF;687;Tranås;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;687;Tranås;Fritt val; ;1479;;
KF;687;Tranås;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;687;Tranås;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;687;Tranås;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;687;Tranås;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;687;Tranås;Humanistisk demokrati (HD);HD;1480;;
KF;687;Tranås;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;687;Tranås;Kalle ankapartiet; ;1579;;
KF;687;Tranås;Kapitalism med vänligt ansikte; ;1495;;
KF;687;Tranås;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;687;Tranås;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;687;Tranås;Kristdemokraterna;KD;68;7.526273241713824;https://kristdemokraterna.se/
KF;687;Tranås;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;687;Tranås;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;687;Tranås;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;687;Tranås;Liberalerna (tidigare Folkpartiet);L;3;4.963621665319321;https://www.liberalerna.se/
KF;687;Tranås;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;687;Tranås;Medborgarresan; ;1330;;https://citizenwell.se/
KF;687;Tranås;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;687;Tranås;Miljöpartiet de gröna;MP;55;4.268391269199676;https://www.mp.se/
KF;687;Tranås;Min röst; ;1437;;
KF;687;Tranås;MITT SVERIGE; ;1591;;
KF;687;Tranås;Moderaterna;M;1;20.759902991107516;https://moderaterna.se/
KF;687;Tranås;Monisterna; ;1502;;
KF;687;Tranås;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;687;Tranås;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;687;Tranås;NaturFilosoferna; ;1460;;
KF;687;Tranås;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;687;Tranås;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;687;Tranås;Nya Frihetspartiet; ;1443;;
KF;687;Tranås;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;687;Tranås;OK; ;1478;;
KF;687;Tranås;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;687;Tranås;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;687;Tranås;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;687;Tranås;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;687;Tranås;Pax; ;1491;;https://www.paxpartiet.se/
KF;687;Tranås;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;687;Tranås;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;687;Tranås;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;687;Tranås;Rikspolitiska partiet; ;1496;;
KF;687;Tranås;SKP; ;1586;;https://skp.se
KF;687;Tranås;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;687;Tranås;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;687;Tranås;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;687;Tranås;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;687;Tranås;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;687;Tranås;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;687;Tranås;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;687;Tranås;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;687;Tranås;Sverigedemokraterna;SD;110;19.57962813257882;https://sd.se/
KF;687;Tranås;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;687;Tranås;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;687;Tranås;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;687;Tranås;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;687;Tranås;Valsamverkanspartiet; ;1526;;
KF;687;Tranås;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;687;Tranås;Vänsterpartiet;V;5;4.955537590945837;https://www.vansterpartiet.se/
KF;687;Tranås;Yggdrasil; ;1454;;
KF;687;Tranås;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
