VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1488;Trollhättan;Alternativ för Sverige;AfS;1325;
KF;1488;Trollhättan;ANDOPARTIET; ;1602;
KF;1488;Trollhättan;Arbetarepartiet-Socialdemokraterna;S;2;37.90854934793109
KF;1488;Trollhättan;Basinkomstpartiet; ;1525;
KF;1488;Trollhättan;Centerpartiet;C;4;5.916921590726131
KF;1488;Trollhättan;Common sense in Sweden;CSIS;1318;0.0
KF;1488;Trollhättan;Direktdemokraterna;DD;1150;0.0
KF;1488;Trollhättan;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1488;Trollhättan;Enad Politik; ;1589;
KF;1488;Trollhättan;Enade Sverige; ;1448;
KF;1488;Trollhättan;Enhet;ENH;189;0.0
KF;1488;Trollhättan;EUSEC; ;1534;
KF;1488;Trollhättan;Feministiskt initiativ;FI;532;0.22808994794182363
KF;1488;Trollhättan;FOLKOMROSTA2021.SE; ;1489;
KF;1488;Trollhättan;FramtidsTro;FT;1449;
KF;1488;Trollhättan;Fredspartiet; ;1484;
KF;1488;Trollhättan;Fria Wermland; ;1548;
KF;1488;Trollhättan;Frihetsrörelsen; ;1573;
KF;1488;Trollhättan;Fritt val; ;1479;
KF;1488;Trollhättan;Förenade Demokratiska Partiet; ;1577;
KF;1488;Trollhättan;Företaget Sverige; ;1510;
KF;1488;Trollhättan;GRÖNA DEMOKRATER; ;1601;
KF;1488;Trollhättan;Gula västarna; ;1436;
KF;1488;Trollhättan;Humanistisk demokrati (HD);HD;1480;
KF;1488;Trollhättan;John Mikkonen; ;1598;
KF;1488;Trollhättan;Kalle ankapartiet; ;1579;
KF;1488;Trollhättan;Kapitalism med vänligt ansikte; ;1495;
KF;1488;Trollhättan;Klassiskt liberala partiet;KLP;638;0.0
KF;1488;Trollhättan;Knapptryckarna; ;1505;
KF;1488;Trollhättan;Kristdemokraterna;KD;68;3.3891482853002737
KF;1488;Trollhättan;Kristna Värdepartiet; ;1551;
KF;1488;Trollhättan;Kärlek; ;1465;
KF;1488;Trollhättan;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1488;Trollhättan;Liberalerna (tidigare Folkpartiet);L;3;5.095797778135566
KF;1488;Trollhättan;Majspartiet; ;1471;
KF;1488;Trollhättan;Medborgarresan; ;1330;
KF;1488;Trollhättan;Medborgerlig Samling;MED;1296;0.0
KF;1488;Trollhättan;Miljöpartiet de gröna;MP;55;3.931197338056137
KF;1488;Trollhättan;Min röst; ;1437;
KF;1488;Trollhättan;MITT SVERIGE; ;1591;
KF;1488;Trollhättan;Moderaterna;M;1;20.57639671550475
KF;1488;Trollhättan;Monisterna; ;1502;
KF;1488;Trollhättan;Mälaröarnas parti; ;1440;
KF;1488;Trollhättan;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1488;Trollhättan;NaturFilosoferna; ;1460;
KF;1488;Trollhättan;Nix to the Six; ;1519;
KF;1488;Trollhättan;NY REFORM; ;1528;
KF;1488;Trollhättan;Nya Frihetspartiet; ;1443;
KF;1488;Trollhättan;Nya Samhällspartiet; ;1438;
KF;1488;Trollhättan;OK; ;1478;
KF;1488;Trollhättan;Ond Kyckling Partiet; ;1472;
KF;1488;Trollhättan;Partiet Folkomröstning; ;1578;
KF;1488;Trollhättan;Partiet Nyans; ;1439;
KF;1488;Trollhättan;Partiet Vändpunkt;PV;1430;
KF;1488;Trollhättan;Pax; ;1491;
KF;1488;Trollhättan;Piratpartiet;PP;524;0.0
KF;1488;Trollhättan;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1488;Trollhättan;Rastliberalerna; ;1508;
KF;1488;Trollhättan;Rikspolitiska partiet; ;1496;
KF;1488;Trollhättan;SKP; ;1586;
KF;1488;Trollhättan;SKÅNEPARTIET;SKÅ;54;0.0
KF;1488;Trollhättan;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1488;Trollhättan;Sociallibertarianerna; ;1507;
KF;1488;Trollhättan;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1488;Trollhättan;Stram Kurs Sverige; ;1592;
KF;1488;Trollhättan;Svenska Rikslagen; ;1513;
KF;1488;Trollhättan;SVENSKARNA; ;1444;
KF;1488;Trollhättan;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1488;Trollhättan;Sverigedemokraterna;SD;110;13.10578006762196
KF;1488;Trollhättan;Sverigepartiet; ;1457;
KF;1488;Trollhättan;Swexitpartiet; ;1461;
KF;1488;Trollhättan;Säkerhetspartiet; ;1466;
KF;1488;Trollhättan;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1488;Trollhättan;Valsamverkanspartiet; ;1526;
KF;1488;Trollhättan;Vinningspartiet; ;1468;
KF;1488;Trollhättan;Vänsterpartiet;V;5;6.82659797134117
KF;1488;Trollhättan;Yggdrasil; ;1454;
KF;1488;Trollhättan;Ändrings partiet revolution; ;1404;
