VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;488;Trosa;Alternativ för Sverige;AfS;1325;
KF;488;Trosa;ANDOPARTIET; ;1602;
KF;488;Trosa;Arbetarepartiet-Socialdemokraterna;S;2;22.523532048408786
KF;488;Trosa;Basinkomstpartiet; ;1525;
KF;488;Trosa;Centerpartiet;C;4;6.835499775885253
KF;488;Trosa;Common sense in Sweden;CSIS;1318;0.0
KF;488;Trosa;Direktdemokraterna;DD;1150;0.0
KF;488;Trosa;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;488;Trosa;Enad Politik; ;1589;
KF;488;Trosa;Enade Sverige; ;1448;
KF;488;Trosa;Enhet;ENH;189;0.0
KF;488;Trosa;EUSEC; ;1534;
KF;488;Trosa;Feministiskt initiativ;FI;532;0.21290900941281937
KF;488;Trosa;FOLKOMROSTA2021.SE; ;1489;
KF;488;Trosa;FramtidsTro;FT;1449;
KF;488;Trosa;Fredspartiet; ;1484;
KF;488;Trosa;Fria Wermland; ;1548;
KF;488;Trosa;Frihetsrörelsen; ;1573;
KF;488;Trosa;Fritt val; ;1479;
KF;488;Trosa;Förenade Demokratiska Partiet; ;1577;
KF;488;Trosa;Företaget Sverige; ;1510;
KF;488;Trosa;GRÖNA DEMOKRATER; ;1601;
KF;488;Trosa;Gula västarna; ;1436;
KF;488;Trosa;Humanistisk demokrati (HD);HD;1480;
KF;488;Trosa;John Mikkonen; ;1598;
KF;488;Trosa;Kalle ankapartiet; ;1579;
KF;488;Trosa;Kapitalism med vänligt ansikte; ;1495;
KF;488;Trosa;Klassiskt liberala partiet;KLP;638;0.0
KF;488;Trosa;Knapptryckarna; ;1505;
KF;488;Trosa;Kristdemokraterna;KD;68;3.574630210667862
KF;488;Trosa;Kristna Värdepartiet; ;1551;
KF;488;Trosa;Kärlek; ;1465;
KF;488;Trosa;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;488;Trosa;Liberalerna (tidigare Folkpartiet);L;3;4.762438368444643
KF;488;Trosa;Majspartiet; ;1471;
KF;488;Trosa;Medborgarresan; ;1330;
KF;488;Trosa;Medborgerlig Samling;MED;1296;0.21290900941281937
KF;488;Trosa;Miljöpartiet de gröna;MP;55;5.132227700582699
KF;488;Trosa;Min röst; ;1437;
KF;488;Trosa;MITT SVERIGE; ;1591;
KF;488;Trosa;Moderaterna;M;1;40.67682653518602
KF;488;Trosa;Monisterna; ;1502;
KF;488;Trosa;Mälaröarnas parti; ;1440;
KF;488;Trosa;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;488;Trosa;NaturFilosoferna; ;1460;
KF;488;Trosa;Nix to the Six; ;1519;
KF;488;Trosa;NY REFORM; ;1528;
KF;488;Trosa;Nya Frihetspartiet; ;1443;
KF;488;Trosa;Nya Samhällspartiet; ;1438;
KF;488;Trosa;OK; ;1478;
KF;488;Trosa;Ond Kyckling Partiet; ;1472;
KF;488;Trosa;Partiet Folkomröstning; ;1578;
KF;488;Trosa;Partiet Nyans; ;1439;
KF;488;Trosa;Partiet Vändpunkt;PV;1430;
KF;488;Trosa;Pax; ;1491;
KF;488;Trosa;Piratpartiet;PP;524;0.0
KF;488;Trosa;Positivt Samhällsinitiativ (PSI); ;1475;
KF;488;Trosa;Rastliberalerna; ;1508;
KF;488;Trosa;Rikspolitiska partiet; ;1496;
KF;488;Trosa;SKP; ;1586;
KF;488;Trosa;SKÅNEPARTIET;SKÅ;54;0.0
KF;488;Trosa;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;488;Trosa;Sociallibertarianerna; ;1507;
KF;488;Trosa;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;488;Trosa;Stram Kurs Sverige; ;1592;
KF;488;Trosa;Svenska Rikslagen; ;1513;
KF;488;Trosa;SVENSKARNA; ;1444;
KF;488;Trosa;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;488;Trosa;Sverigedemokraterna;SD;110;10.63424473330345
KF;488;Trosa;Sverigepartiet; ;1457;
KF;488;Trosa;Swexitpartiet; ;1461;
KF;488;Trosa;Säkerhetspartiet; ;1466;
KF;488;Trosa;TRYGGHETSPARTIET;TRP;1309;0.0
KF;488;Trosa;Valsamverkanspartiet; ;1526;
KF;488;Trosa;Vinningspartiet; ;1468;
KF;488;Trosa;Vänsterpartiet;V;5;5.3899596593455845
KF;488;Trosa;Yggdrasil; ;1454;
KF;488;Trosa;Ändrings partiet revolution; ;1404;
