VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1473;Töreboda;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1473;Töreboda;ANARKISTERNA; ;1628;;
KF;1473;Töreboda;ANDOPARTIET; ;1602;;
KF;1473;Töreboda;Arbetarepartiet-Socialdemokraterna;S;2;31.06779943361653;https://www.socialdemokraterna.se/
KF;1473;Töreboda;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1473;Töreboda;Bjornpartiet; ;1629;;
KF;1473;Töreboda;Centerpartiet;C;4;16.291854072963517;https://www.centerpartiet.se/
KF;1473;Töreboda;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1473;Töreboda;Det minst dåliga partiet; ;1622;;
KF;1473;Töreboda;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1473;Töreboda;Drivkraft; ;1621;;
KF;1473;Töreboda;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1473;Töreboda;Enad Politik; ;1589;;
KF;1473;Töreboda;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1473;Töreboda;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1473;Töreboda;Enskild person/Riksdagen val; ;1614;;
KF;1473;Töreboda;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1473;Töreboda;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1473;Töreboda;EUSEC; ;1534;;
KF;1473;Töreboda;FAMILJENS FRIHET; ;1606;;
KF;1473;Töreboda;Fattigmans parti; ;1618;;
KF;1473;Töreboda;Feministiskt initiativ;FI;532;0.26653339996668335;https://feministisktinitiativ.se/
KF;1473;Töreboda;FN Parti art.27; ;1631;;
KF;1473;Töreboda;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1473;Töreboda;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1473;Töreboda;Fredspartiet; ;1484;;
KF;1473;Töreboda;Fria Wermland; ;1548;;https://friawermland.se/
KF;1473;Töreboda;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1473;Töreboda;Fritt val; ;1479;;
KF;1473;Töreboda;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1473;Töreboda;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1473;Töreboda;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1473;Töreboda;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1473;Töreboda;Humanistisk demokrati (HD);HD;1480;;
KF;1473;Töreboda;Invandrarpartiet; ;1624;;
KF;1473;Töreboda;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1473;Töreboda;Kalle ankapartiet; ;1579;;
KF;1473;Töreboda;Kapitalism med vänligt ansikte; ;1495;;
KF;1473;Töreboda;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1473;Töreboda;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1473;Töreboda;Kristdemokraterna;KD;68;1.532567049808429;https://kristdemokraterna.se/
KF;1473;Töreboda;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1473;Töreboda;KSP; ;1612;;
KF;1473;Töreboda;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1473;Töreboda;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1473;Töreboda;Liberalerna (tidigare Folkpartiet);L;3;3.56488422455439;https://www.liberalerna.se/
KF;1473;Töreboda;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1473;Töreboda;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1473;Töreboda;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1473;Töreboda;Miljöpartiet de gröna;MP;55;0.8329168748958855;https://www.mp.se/
KF;1473;Töreboda;Min röst; ;1437;;
KF;1473;Töreboda;MITT SVERIGE; ;1591;;
KF;1473;Töreboda;MoD; ;1568;;https://partietmod.se/
KF;1473;Töreboda;Moderaterna;M;1;28.26919873396635;https://moderaterna.se/
KF;1473;Töreboda;Monisterna; ;1502;;
KF;1473;Töreboda;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1473;Töreboda;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1473;Töreboda;NaturFilosoferna; ;1460;;
KF;1473;Töreboda;Naturistpartiet; ;1627;;
KF;1473;Töreboda;Neoteknokraterna; ;1613;;
KF;1473;Töreboda;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1473;Töreboda;Nu får det fan vara nog; ;1623;;
KF;1473;Töreboda;Ny Demokrati; ;1596;;
KF;1473;Töreboda;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1473;Töreboda;Nya Frihetspartiet; ;1443;;
KF;1473;Töreboda;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1473;Töreboda;OK; ;1478;;
KF;1473;Töreboda;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1473;Töreboda;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1473;Töreboda;Partiet Frihet; ;1599;;
KF;1473;Töreboda;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1473;Töreboda;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1473;Töreboda;Pax; ;1491;;https://www.paxpartiet.se/
KF;1473;Töreboda;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1473;Töreboda;Politiskt Skifte; ;1617;;
KF;1473;Töreboda;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1473;Töreboda;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1473;Töreboda;Reformpartiet; ;1616;;
KF;1473;Töreboda;Rikspolitiska partiet; ;1496;;
KF;1473;Töreboda;SKP;Skp;1586;;https://skp.se
KF;1473;Töreboda;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1473;Töreboda;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1473;Töreboda;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1473;Töreboda;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1473;Töreboda;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1473;Töreboda;Svensk Jobbdemokrati; ;1603;;
KF;1473;Töreboda;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1473;Töreboda;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1473;Töreboda;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1473;Töreboda;Sverigedemokraterna;SD;110;13.44327836081959;https://sd.se/
KF;1473;Töreboda;Sverigepartiet; ;1457;;https://sverigepartiet.se/
