VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1485;Uddevalla;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1485;Uddevalla;ANDOPARTIET; ;1602;;
KF;1485;Uddevalla;Arbetarepartiet-Socialdemokraterna;S;2;26.105006780880686;https://www.socialdemokraterna.se/
KF;1485;Uddevalla;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1485;Uddevalla;BOHUSLÄNPARTIET; ;1506;;
KF;1485;Uddevalla;Centerpartiet;C;4;6.927569123467382;https://www.centerpartiet.se/
KF;1485;Uddevalla;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1485;Uddevalla;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1485;Uddevalla;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1485;Uddevalla;Enad Politik; ;1589;;
KF;1485;Uddevalla;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1485;Uddevalla;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1485;Uddevalla;EUSEC; ;1534;;
KF;1485;Uddevalla;Feministiskt initiativ;FI;532;0.5452381611358667;https://feministisktinitiativ.se/
KF;1485;Uddevalla;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1485;Uddevalla;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1485;Uddevalla;Fredspartiet; ;1484;;
KF;1485;Uddevalla;Fria Wermland; ;1548;;https://friawermland.se/
KF;1485;Uddevalla;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1485;Uddevalla;Fritt val; ;1479;;
KF;1485;Uddevalla;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1485;Uddevalla;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1485;Uddevalla;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1485;Uddevalla;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1485;Uddevalla;Humanistisk demokrati (HD);HD;1480;;
KF;1485;Uddevalla;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1485;Uddevalla;Kalle ankapartiet; ;1579;;
KF;1485;Uddevalla;Kapitalism med vänligt ansikte; ;1495;;
KF;1485;Uddevalla;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1485;Uddevalla;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1485;Uddevalla;Kristdemokraterna;KD;68;7.065954443552627;https://kristdemokraterna.se/
KF;1485;Uddevalla;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1485;Uddevalla;Kärlek; ;1465;;
KF;1485;Uddevalla;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1485;Uddevalla;Liberalerna (tidigare Folkpartiet);L;3;5.828789681990535;https://www.liberalerna.se/
KF;1485;Uddevalla;Majspartiet; ;1471;;
KF;1485;Uddevalla;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1485;Uddevalla;Medborgerlig Samling;MED;1296;0.16883009050399933;https://www.medborgerligsamling.se/
KF;1485;Uddevalla;Miljöpartiet de gröna;MP;55;4.422794829924442;https://www.mp.se/
KF;1485;Uddevalla;Min röst; ;1437;;
KF;1485;Uddevalla;MITT SVERIGE; ;1591;;
KF;1485;Uddevalla;Moderaterna;M;1;14.71035952506158;https://moderaterna.se/
KF;1485;Uddevalla;Monisterna; ;1502;;
KF;1485;Uddevalla;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1485;Uddevalla;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1485;Uddevalla;NaturFilosoferna; ;1460;;
KF;1485;Uddevalla;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1485;Uddevalla;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1485;Uddevalla;Nya Frihetspartiet; ;1443;;
KF;1485;Uddevalla;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1485;Uddevalla;OK; ;1478;;
KF;1485;Uddevalla;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1485;Uddevalla;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1485;Uddevalla;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1485;Uddevalla;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1485;Uddevalla;Pax; ;1491;;https://www.paxpartiet.se/
KF;1485;Uddevalla;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1485;Uddevalla;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1485;Uddevalla;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1485;Uddevalla;Rikspolitiska partiet; ;1496;;
KF;1485;Uddevalla;SKP; ;1586;;https://skp.se
KF;1485;Uddevalla;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1485;Uddevalla;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1485;Uddevalla;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1485;Uddevalla;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1485;Uddevalla;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1485;Uddevalla;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1485;Uddevalla;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1485;Uddevalla;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1485;Uddevalla;Sverigedemokraterna;SD;110;14.295203564805844;https://sd.se/
KF;1485;Uddevalla;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1485;Uddevalla;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1485;Uddevalla;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1485;Uddevalla;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1485;Uddevalla;Uddevallapartiet;UddP;1076;12.498962110099361;
KF;1485;Uddevalla;Valsamverkanspartiet; ;1526;;
KF;1485;Uddevalla;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1485;Uddevalla;Vänsterpartiet;V;5;7.099166920373087;https://www.vansterpartiet.se/
KF;1485;Uddevalla;Yggdrasil; ;1454;;
KF;1485;Uddevalla;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
