VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1491;Ulricehamn;Alternativ för Sverige;AfS;1325;
KF;1491;Ulricehamn;ANDOPARTIET; ;1602;
KF;1491;Ulricehamn;Arbetarepartiet-Socialdemokraterna;S;2;20.646688679833034
KF;1491;Ulricehamn;Basinkomstpartiet; ;1525;
KF;1491;Ulricehamn;Centerpartiet;C;4;16.098685440159493
KF;1491;Ulricehamn;Common sense in Sweden;CSIS;1318;0.0
KF;1491;Ulricehamn;Direktdemokraterna;DD;1150;0.0
KF;1491;Ulricehamn;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1491;Ulricehamn;Enad Politik; ;1589;
KF;1491;Ulricehamn;Enade Sverige; ;1448;
KF;1491;Ulricehamn;Enhet;ENH;189;0.0
KF;1491;Ulricehamn;EUSEC; ;1534;
KF;1491;Ulricehamn;Feministiskt initiativ;FI;532;0.12460282848420659
KF;1491;Ulricehamn;FOLKOMROSTA2021.SE; ;1489;
KF;1491;Ulricehamn;FramtidsTro;FT;1449;
KF;1491;Ulricehamn;Fredspartiet; ;1484;
KF;1491;Ulricehamn;Fria Wermland; ;1548;
KF;1491;Ulricehamn;Frihetsrörelsen; ;1573;
KF;1491;Ulricehamn;Fritt val; ;1479;
KF;1491;Ulricehamn;Förenade Demokratiska Partiet; ;1577;
KF;1491;Ulricehamn;Företaget Sverige; ;1510;
KF;1491;Ulricehamn;GRÖNA DEMOKRATER; ;1601;
KF;1491;Ulricehamn;Gula västarna; ;1436;
KF;1491;Ulricehamn;Humanistisk demokrati (HD);HD;1480;
KF;1491;Ulricehamn;John Mikkonen; ;1598;
KF;1491;Ulricehamn;Kalle ankapartiet; ;1579;
KF;1491;Ulricehamn;Kapitalism med vänligt ansikte; ;1495;
KF;1491;Ulricehamn;Klassiskt liberala partiet;KLP;638;0.0
KF;1491;Ulricehamn;Knapptryckarna; ;1505;
KF;1491;Ulricehamn;Kristdemokraterna;KD;68;4.560463522521961
KF;1491;Ulricehamn;Kristna Värdepartiet; ;1551;
KF;1491;Ulricehamn;Kärlek; ;1465;
KF;1491;Ulricehamn;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1491;Ulricehamn;Liberalerna (tidigare Folkpartiet);L;3;4.572923805370381
KF;1491;Ulricehamn;Majspartiet; ;1471;
KF;1491;Ulricehamn;Medborgarresan; ;1330;
KF;1491;Ulricehamn;Medborgerlig Samling;MED;1296;0.0
KF;1491;Ulricehamn;Miljöpartiet de gröna;MP;55;3.02784873216622
KF;1491;Ulricehamn;Min röst; ;1437;
KF;1491;Ulricehamn;MITT SVERIGE; ;1591;
KF;1491;Ulricehamn;Moderaterna;M;1;15.706186530434241
KF;1491;Ulricehamn;Monisterna; ;1502;
KF;1491;Ulricehamn;Mälaröarnas parti; ;1440;
KF;1491;Ulricehamn;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1491;Ulricehamn;NaturFilosoferna; ;1460;
KF;1491;Ulricehamn;Nix to the Six; ;1519;
KF;1491;Ulricehamn;NY REFORM; ;1528;
KF;1491;Ulricehamn;Nya Frihetspartiet; ;1443;
KF;1491;Ulricehamn;Nya Samhällspartiet; ;1438;
KF;1491;Ulricehamn;Nya Ulricehamn;NU;1157;17.56899881627313
KF;1491;Ulricehamn;OK; ;1478;
KF;1491;Ulricehamn;Ond Kyckling Partiet; ;1472;
KF;1491;Ulricehamn;Partiet Folkomröstning; ;1578;
KF;1491;Ulricehamn;Partiet Nyans; ;1439;
KF;1491;Ulricehamn;Partiet Vändpunkt;PV;1430;
KF;1491;Ulricehamn;Pax; ;1491;
KF;1491;Ulricehamn;Piratpartiet;PP;524;0.0
KF;1491;Ulricehamn;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1491;Ulricehamn;Rastliberalerna; ;1508;
KF;1491;Ulricehamn;Rikspolitiska partiet; ;1496;
KF;1491;Ulricehamn;SKP; ;1586;
KF;1491;Ulricehamn;SKÅNEPARTIET;SKÅ;54;0.0
KF;1491;Ulricehamn;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1491;Ulricehamn;Sociallibertarianerna; ;1507;
KF;1491;Ulricehamn;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1491;Ulricehamn;Stram Kurs Sverige; ;1592;
KF;1491;Ulricehamn;Svenska Rikslagen; ;1513;
KF;1491;Ulricehamn;SVENSKARNA; ;1444;
KF;1491;Ulricehamn;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1491;Ulricehamn;Sverigedemokraterna;SD;110;12.634726808298549
KF;1491;Ulricehamn;Sverigepartiet; ;1457;
KF;1491;Ulricehamn;Swexitpartiet; ;1461;
KF;1491;Ulricehamn;Säkerhetspartiet; ;1466;
KF;1491;Ulricehamn;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1491;Ulricehamn;Valsamverkanspartiet; ;1526;
KF;1491;Ulricehamn;Vinningspartiet; ;1468;
KF;1491;Ulricehamn;Vänsterpartiet;V;5;4.934272007974581
KF;1491;Ulricehamn;Yggdrasil; ;1454;
KF;1491;Ulricehamn;Ändrings partiet revolution; ;1404;
