VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2480;Umeå;Alternativ för Sverige;AfS;1325;
KF;2480;Umeå;ANDOPARTIET; ;1602;
KF;2480;Umeå;Arbetarepartiet-Socialdemokraterna;S;2;30.35253756062936
KF;2480;Umeå;Basinkomstpartiet; ;1525;
KF;2480;Umeå;Centerpartiet;C;4;9.979888796876848
KF;2480;Umeå;Common sense in Sweden;CSIS;1318;0.0
KF;2480;Umeå;Demokratiska Sekulära Socialister Arbetarpartiet;Ar P;1180;3.580977167869395
KF;2480;Umeå;Direktdemokraterna;DD;1150;0.0
KF;2480;Umeå;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2480;Umeå;Enad Politik; ;1589;
KF;2480;Umeå;Enade Sverige; ;1448;
KF;2480;Umeå;Enhet;ENH;189;0.0
KF;2480;Umeå;EUSEC; ;1534;
KF;2480;Umeå;Feministiskt initiativ;FI;532;2.083284041168816
KF;2480;Umeå;FOLKOMROSTA2021.SE; ;1489;
KF;2480;Umeå;FramtidsTro;FT;1449;
KF;2480;Umeå;Fredspartiet; ;1484;
KF;2480;Umeå;Fria Wermland; ;1548;
KF;2480;Umeå;Frihetsrörelsen; ;1573;
KF;2480;Umeå;Fritt val; ;1479;
KF;2480;Umeå;Förenade Demokratiska Partiet; ;1577;
KF;2480;Umeå;Företaget Sverige; ;1510;
KF;2480;Umeå;GRÖNA DEMOKRATER; ;1601;
KF;2480;Umeå;Gula västarna; ;1436;
KF;2480;Umeå;Humanistisk demokrati (HD);HD;1480;
KF;2480;Umeå;John Mikkonen; ;1598;
KF;2480;Umeå;Kalle ankapartiet; ;1579;
KF;2480;Umeå;Kapitalism med vänligt ansikte; ;1495;
KF;2480;Umeå;Klassiskt liberala partiet;KLP;638;0.0
KF;2480;Umeå;Knapptryckarna; ;1505;
KF;2480;Umeå;Kommunistiska Partiet;K;471;0.0
KF;2480;Umeå;Kristdemokraterna;KD;68;3.789187270791435
KF;2480;Umeå;Kristna Värdepartiet; ;1551;
KF;2480;Umeå;Kärlek; ;1465;
KF;2480;Umeå;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2480;Umeå;Liberalerna (tidigare Folkpartiet);L;3;5.764817224653969
KF;2480;Umeå;Majspartiet; ;1471;
KF;2480;Umeå;Medborgarresan; ;1330;
KF;2480;Umeå;Medborgerlig Samling;MED;1296;0.0
KF;2480;Umeå;Miljöpartiet de gröna;MP;55;5.427658819354075
KF;2480;Umeå;Min röst; ;1437;
KF;2480;Umeå;MITT SVERIGE; ;1591;
KF;2480;Umeå;Moderaterna;M;1;17.28735360227138
KF;2480;Umeå;Monisterna; ;1502;
KF;2480;Umeå;Mälaröarnas parti; ;1440;
KF;2480;Umeå;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2480;Umeå;NaturFilosoferna; ;1460;
KF;2480;Umeå;Nix to the Six; ;1519;
KF;2480;Umeå;NY REFORM; ;1528;
KF;2480;Umeå;Nya Frihetspartiet; ;1443;
KF;2480;Umeå;Nya Samhällspartiet; ;1438;
KF;2480;Umeå;OK; ;1478;
KF;2480;Umeå;Ond Kyckling Partiet; ;1472;
KF;2480;Umeå;Partiet Folkomröstning; ;1578;
KF;2480;Umeå;Partiet Nyans; ;1439;
KF;2480;Umeå;Partiet Vändpunkt;PV;1430;
KF;2480;Umeå;Pax; ;1491;
KF;2480;Umeå;Piratpartiet;PP;524;0.0
KF;2480;Umeå;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2480;Umeå;Rastliberalerna; ;1508;
KF;2480;Umeå;Rikspolitiska partiet; ;1496;
KF;2480;Umeå;SKP; ;1586;
KF;2480;Umeå;SKÅNEPARTIET;SKÅ;54;0.0
KF;2480;Umeå;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2480;Umeå;Sociallibertarianerna; ;1507;
KF;2480;Umeå;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2480;Umeå;Stram Kurs Sverige; ;1592;
KF;2480;Umeå;Svenska Rikslagen; ;1513;
KF;2480;Umeå;SVENSKARNA; ;1444;
KF;2480;Umeå;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2480;Umeå;Sverigedemokraterna;SD;110;5.308174612563587
KF;2480;Umeå;Sverigepartiet; ;1457;
KF;2480;Umeå;Swexitpartiet; ;1461;
KF;2480;Umeå;Säkerhetspartiet; ;1466;
KF;2480;Umeå;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2480;Umeå;Valsamverkanspartiet; ;1526;
KF;2480;Umeå;Vinningspartiet; ;1468;
KF;2480;Umeå;Vänsterpartiet;V;5;16.23920501597066
KF;2480;Umeå;Yggdrasil; ;1454;
KF;2480;Umeå;Ändrings partiet revolution; ;1404;
