VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;139;Upplands-Bro;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;139;Upplands-Bro;ANARKISTERNA; ;1628;;
KF;139;Upplands-Bro;ANDOPARTIET; ;1602;;
KF;139;Upplands-Bro;Arbetarepartiet-Socialdemokraterna;S;2;26.430856736580168;https://www.socialdemokraterna.se/
KF;139;Upplands-Bro;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;139;Upplands-Bro;Bjornpartiet; ;1629;;
KF;139;Upplands-Bro;Centerpartiet;C;4;4.899869652802464;https://www.centerpartiet.se/
KF;139;Upplands-Bro;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;139;Upplands-Bro;Det minst dåliga partiet; ;1622;;
KF;139;Upplands-Bro;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;139;Upplands-Bro;Drivkraft; ;1621;;
KF;139;Upplands-Bro;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;139;Upplands-Bro;Enad Politik; ;1589;;
KF;139;Upplands-Bro;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;139;Upplands-Bro;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;139;Upplands-Bro;Enskild person/Riksdagen val; ;1614;;
KF;139;Upplands-Bro;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;139;Upplands-Bro;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;139;Upplands-Bro;EUSEC; ;1534;;
KF;139;Upplands-Bro;FAMILJENS FRIHET; ;1606;;
KF;139;Upplands-Bro;Fattigmans parti; ;1618;;
KF;139;Upplands-Bro;Feministiskt initiativ;FI;532;0.26069439507050596;https://feministisktinitiativ.se/
KF;139;Upplands-Bro;FN Parti art.27; ;1631;;
KF;139;Upplands-Bro;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;139;Upplands-Bro;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;139;Upplands-Bro;Fredspartiet; ;1484;;
KF;139;Upplands-Bro;Fria Wermland; ;1548;;https://friawermland.se/
KF;139;Upplands-Bro;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;139;Upplands-Bro;Fritt val; ;1479;;
KF;139;Upplands-Bro;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;139;Upplands-Bro;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;139;Upplands-Bro;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;139;Upplands-Bro;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;139;Upplands-Bro;Humanistisk demokrati (HD);HD;1480;;
KF;139;Upplands-Bro;Invandrarpartiet; ;1624;;
KF;139;Upplands-Bro;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;139;Upplands-Bro;Kalle ankapartiet; ;1579;;
KF;139;Upplands-Bro;Kapitalism med vänligt ansikte; ;1495;;
KF;139;Upplands-Bro;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;139;Upplands-Bro;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;139;Upplands-Bro;Kristdemokraterna;KD;68;6.570683730299799;https://kristdemokraterna.se/
KF;139;Upplands-Bro;Kristna Värdepartiet;KrVP;1551;0.17774617845716317;https://www.kristnavardepartiet.se/
KF;139;Upplands-Bro;KSP; ;1612;;
KF;139;Upplands-Bro;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;139;Upplands-Bro;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;139;Upplands-Bro;Liberalerna (tidigare Folkpartiet);L;3;9.248726152387723;https://www.liberalerna.se/
KF;139;Upplands-Bro;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;139;Upplands-Bro;Medborgarresan; ;1330;;https://citizenwell.se/
KF;139;Upplands-Bro;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;139;Upplands-Bro;Miljöpartiet de gröna;MP;55;3.4779002251451594;https://www.mp.se/
KF;139;Upplands-Bro;Min röst; ;1437;;
KF;139;Upplands-Bro;MITT SVERIGE; ;1591;;
KF;139;Upplands-Bro;MoD; ;1568;;https://partietmod.se/
KF;139;Upplands-Bro;Moderaterna;M;1;25.26365683137812;https://moderaterna.se/
KF;139;Upplands-Bro;Monisterna; ;1502;;
KF;139;Upplands-Bro;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;139;Upplands-Bro;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;139;Upplands-Bro;NaturFilosoferna; ;1460;;
KF;139;Upplands-Bro;Naturistpartiet; ;1627;;
KF;139;Upplands-Bro;Neoteknokraterna; ;1613;;
KF;139;Upplands-Bro;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;139;Upplands-Bro;Nu får det fan vara nog; ;1623;;
KF;139;Upplands-Bro;Ny Demokrati; ;1596;;
KF;139;Upplands-Bro;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;139;Upplands-Bro;Nya Frihetspartiet; ;1443;;
KF;139;Upplands-Bro;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;139;Upplands-Bro;OK; ;1478;;
KF;139;Upplands-Bro;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;139;Upplands-Bro;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;139;Upplands-Bro;Partiet Frihet; ;1599;;
KF;139;Upplands-Bro;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;139;Upplands-Bro;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;139;Upplands-Bro;Pax; ;1491;;https://www.paxpartiet.se/
KF;139;Upplands-Bro;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;139;Upplands-Bro;Politiskt Skifte; ;1617;;
KF;139;Upplands-Bro;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;139;Upplands-Bro;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;139;Upplands-Bro;Reformpartiet; ;1616;;
KF;139;Upplands-Bro;Rikspolitiska partiet; ;1496;;
KF;139;Upplands-Bro;SKP;Skp;1586;;https://skp.se
KF;139;Upplands-Bro;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;139;Upplands-Bro;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;139;Upplands-Bro;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;139;Upplands-Bro;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;139;Upplands-Bro;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;139;Upplands-Bro;Svensk Jobbdemokrati; ;1603;;
KF;139;Upplands-Bro;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;139;Upplands-Bro;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;139;Upplands-Bro;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;139;Upplands-Bro;Sverigedemokraterna;SD;110;17.016234150965754;https://sd.se/
KF;139;Upplands-Bro;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;139;Upplands-Bro;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;139;Upplands-Bro;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;139;Upplands-Bro;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;139;Upplands-Bro;Upprorsdemokraterna; ;1630;;
KF;139;Upplands-Bro;Valsamverkanspartiet; ;1526;;
KF;139;Upplands-Bro;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;139;Upplands-Bro;Volt Sverige;Volt;1610;;
KF;139;Upplands-Bro;Vänsterpartiet;V;5;6.523284749377889;https://www.vansterpartiet.se/
KF;139;Upplands-Bro;Yggdrasil; ;1454;;
KF;139;Upplands-Bro;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
