VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;584;Vadstena;Alternativ för Sverige;AfS;1325;
KF;584;Vadstena;ANDOPARTIET; ;1602;
KF;584;Vadstena;Arbetarepartiet-Socialdemokraterna;S;2;22.824240135925997
KF;584;Vadstena;Basinkomstpartiet; ;1525;
KF;584;Vadstena;Centerpartiet;C;4;8.061166698131018
KF;584;Vadstena;Common sense in Sweden;CSIS;1318;0.0
KF;584;Vadstena;Direktdemokraterna;DD;1150;0.0
KF;584;Vadstena;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;584;Vadstena;Enad Politik; ;1589;
KF;584;Vadstena;Enade Sverige; ;1448;
KF;584;Vadstena;Enhet;ENH;189;0.0
KF;584;Vadstena;EUSEC; ;1534;
KF;584;Vadstena;Feministiskt initiativ;FI;532;0.07551444213705871
KF;584;Vadstena;FOLKOMROSTA2021.SE; ;1489;
KF;584;Vadstena;FramtidsTro;FT;1449;
KF;584;Vadstena;Fredspartiet; ;1484;
KF;584;Vadstena;Fria Wermland; ;1548;
KF;584;Vadstena;Frihetsrörelsen; ;1573;
KF;584;Vadstena;Fritt val; ;1479;
KF;584;Vadstena;Förenade Demokratiska Partiet; ;1577;
KF;584;Vadstena;Företaget Sverige; ;1510;
KF;584;Vadstena;GRÖNA DEMOKRATER; ;1601;
KF;584;Vadstena;Gula västarna; ;1436;
KF;584;Vadstena;Humanistisk demokrati (HD);HD;1480;
KF;584;Vadstena;John Mikkonen; ;1598;
KF;584;Vadstena;Kalle ankapartiet; ;1579;
KF;584;Vadstena;Kapitalism med vänligt ansikte; ;1495;
KF;584;Vadstena;Klassiskt liberala partiet;KLP;638;0.0
KF;584;Vadstena;Knapptryckarna; ;1505;
KF;584;Vadstena;Konsensus - För Vadstenas Bästa;Kons;1258;22.106852935623937
KF;584;Vadstena;Kristdemokraterna;KD;68;3.9833868227298472
KF;584;Vadstena;Kristna Värdepartiet; ;1551;
KF;584;Vadstena;Kärlek; ;1465;
KF;584;Vadstena;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;584;Vadstena;Liberalerna (tidigare Folkpartiet);L;3;1.812346611289409
KF;584;Vadstena;Majspartiet; ;1471;
KF;584;Vadstena;Medborgarresan; ;1330;
KF;584;Vadstena;Medborgerlig Samling;MED;1296;0.0
KF;584;Vadstena;Miljöpartiet de gröna;MP;55;4.191051538606758
KF;584;Vadstena;Min röst; ;1437;
KF;584;Vadstena;MITT SVERIGE; ;1591;
KF;584;Vadstena;Moderaterna;M;1;23.7304134415707
KF;584;Vadstena;Monisterna; ;1502;
KF;584;Vadstena;Mälaröarnas parti; ;1440;
KF;584;Vadstena;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;584;Vadstena;NaturFilosoferna; ;1460;
KF;584;Vadstena;Nix to the Six; ;1519;
KF;584;Vadstena;NY REFORM; ;1528;
KF;584;Vadstena;Nya Frihetspartiet; ;1443;
KF;584;Vadstena;Nya Samhällspartiet; ;1438;
KF;584;Vadstena;OK; ;1478;
KF;584;Vadstena;Ond Kyckling Partiet; ;1472;
KF;584;Vadstena;Partiet Folkomröstning; ;1578;
KF;584;Vadstena;Partiet Nyans; ;1439;
KF;584;Vadstena;Partiet Vändpunkt;PV;1430;
KF;584;Vadstena;Pax; ;1491;
KF;584;Vadstena;Piratpartiet;PP;524;0.0
KF;584;Vadstena;Positivt Samhällsinitiativ (PSI); ;1475;
KF;584;Vadstena;Rastliberalerna; ;1508;
KF;584;Vadstena;Rikspolitiska partiet; ;1496;
KF;584;Vadstena;SKP; ;1586;
KF;584;Vadstena;SKÅNEPARTIET;SKÅ;54;0.0
KF;584;Vadstena;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;584;Vadstena;Sociallibertarianerna; ;1507;
KF;584;Vadstena;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;584;Vadstena;Stram Kurs Sverige; ;1592;
KF;584;Vadstena;Svenska Rikslagen; ;1513;
KF;584;Vadstena;SVENSKARNA; ;1444;
KF;584;Vadstena;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;584;Vadstena;Sverigedemokraterna;SD;110;7.136114781952048
KF;584;Vadstena;Sverigepartiet; ;1457;
KF;584;Vadstena;Swexitpartiet; ;1461;
KF;584;Vadstena;Säkerhetspartiet; ;1466;
KF;584;Vadstena;TRYGGHETSPARTIET;TRP;1309;0.0
KF;584;Vadstena;Valsamverkanspartiet; ;1526;
KF;584;Vadstena;Vinningspartiet; ;1468;
KF;584;Vadstena;Vänsterpartiet;V;5;6.003398149896168
KF;584;Vadstena;Yggdrasil; ;1454;
KF;584;Vadstena;Ändrings partiet revolution; ;1404;
