VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;563;Valdemarsvik;Alternativ för Sverige;AfS;1325;
KF;563;Valdemarsvik;ANDOPARTIET; ;1602;
KF;563;Valdemarsvik;Arbetarepartiet-Socialdemokraterna;S;2;29.49096274437477
KF;563;Valdemarsvik;Basinkomstpartiet; ;1525;
KF;563;Valdemarsvik;Centerpartiet;C;4;16.48838067133899
KF;563;Valdemarsvik;Common sense in Sweden;CSIS;1318;0.0
KF;563;Valdemarsvik;Direktdemokraterna;DD;1150;0.0
KF;563;Valdemarsvik;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;563;Valdemarsvik;Enad Politik; ;1589;
KF;563;Valdemarsvik;Enade Sverige; ;1448;
KF;563;Valdemarsvik;Enhet;ENH;189;0.0
KF;563;Valdemarsvik;EUSEC; ;1534;
KF;563;Valdemarsvik;Feministiskt initiativ;FI;532;0.12910365178900773
KF;563;Valdemarsvik;FOLKOMROSTA2021.SE; ;1489;
KF;563;Valdemarsvik;FramtidsTro;FT;1449;
KF;563;Valdemarsvik;Fredspartiet; ;1484;
KF;563;Valdemarsvik;Fria Wermland; ;1548;
KF;563;Valdemarsvik;Frihetsrörelsen; ;1573;
KF;563;Valdemarsvik;Fritt val; ;1479;
KF;563;Valdemarsvik;Förenade Demokratiska Partiet; ;1577;
KF;563;Valdemarsvik;Företaget Sverige; ;1510;
KF;563;Valdemarsvik;GRÖNA DEMOKRATER; ;1601;
KF;563;Valdemarsvik;Gula västarna; ;1436;
KF;563;Valdemarsvik;Humanistisk demokrati (HD);HD;1480;
KF;563;Valdemarsvik;John Mikkonen; ;1598;
KF;563;Valdemarsvik;Kalle ankapartiet; ;1579;
KF;563;Valdemarsvik;Kapitalism med vänligt ansikte; ;1495;
KF;563;Valdemarsvik;Klassiskt liberala partiet;KLP;638;0.0
KF;563;Valdemarsvik;Knapptryckarna; ;1505;
KF;563;Valdemarsvik;Kristdemokraterna;KD;68;3.983769826632239
KF;563;Valdemarsvik;Kristna Värdepartiet; ;1551;
KF;563;Valdemarsvik;Kärlek; ;1465;
KF;563;Valdemarsvik;Landsbygdspartiet Oberoende;LPo;1011;4.721504979712283
KF;563;Valdemarsvik;Liberalerna (tidigare Folkpartiet);L;3;1.7152342309111028
KF;563;Valdemarsvik;Majspartiet; ;1471;
KF;563;Valdemarsvik;Medborgarresan; ;1330;
KF;563;Valdemarsvik;Medborgerlig Samling;MED;1296;0.0
KF;563;Valdemarsvik;Miljöpartiet de gröna;MP;55;1.8258945038731096
KF;563;Valdemarsvik;Min röst; ;1437;
KF;563;Valdemarsvik;MITT SVERIGE; ;1591;
KF;563;Valdemarsvik;Moderaterna;M;1;19.67908520841018
KF;563;Valdemarsvik;Monisterna; ;1502;
KF;563;Valdemarsvik;Mälaröarnas parti; ;1440;
KF;563;Valdemarsvik;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;563;Valdemarsvik;NaturFilosoferna; ;1460;
KF;563;Valdemarsvik;Nix to the Six; ;1519;
KF;563;Valdemarsvik;NY REFORM; ;1528;
KF;563;Valdemarsvik;Nya Frihetspartiet; ;1443;
KF;563;Valdemarsvik;Nya Samhällspartiet; ;1438;
KF;563;Valdemarsvik;Nybyggarpartiet;NB;984;4.721504979712283
KF;563;Valdemarsvik;OK; ;1478;
KF;563;Valdemarsvik;Ond Kyckling Partiet; ;1472;
KF;563;Valdemarsvik;Partiet Folkomröstning; ;1578;
KF;563;Valdemarsvik;Partiet Nyans; ;1439;
KF;563;Valdemarsvik;Partiet Vändpunkt;PV;1430;
KF;563;Valdemarsvik;Pax; ;1491;
KF;563;Valdemarsvik;Piratpartiet;PP;524;0.0
KF;563;Valdemarsvik;Positivt Samhällsinitiativ (PSI); ;1475;
KF;563;Valdemarsvik;Rastliberalerna; ;1508;
KF;563;Valdemarsvik;Rikspolitiska partiet; ;1496;
KF;563;Valdemarsvik;SKP; ;1586;
KF;563;Valdemarsvik;SKÅNEPARTIET;SKÅ;54;0.0
KF;563;Valdemarsvik;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;563;Valdemarsvik;Sociallibertarianerna; ;1507;
KF;563;Valdemarsvik;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;563;Valdemarsvik;Stram Kurs Sverige; ;1592;
KF;563;Valdemarsvik;Svenska Rikslagen; ;1513;
KF;563;Valdemarsvik;SVENSKARNA; ;1444;
KF;563;Valdemarsvik;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;563;Valdemarsvik;Sverigedemokraterna;SD;110;12.762818148284765
KF;563;Valdemarsvik;Sverigepartiet; ;1457;
KF;563;Valdemarsvik;Swexitpartiet; ;1461;
KF;563;Valdemarsvik;Säkerhetspartiet; ;1466;
KF;563;Valdemarsvik;TRYGGHETSPARTIET;TRP;1309;0.0
KF;563;Valdemarsvik;Valsamverkanspartiet; ;1526;
KF;563;Valdemarsvik;Vinningspartiet; ;1468;
KF;563;Valdemarsvik;Vänsterpartiet;V;5;4.352637403172261
KF;563;Valdemarsvik;Yggdrasil; ;1454;
KF;563;Valdemarsvik;Ändrings partiet revolution; ;1404;
