VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1383;Varberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1383;Varberg;ANARKISTERNA; ;1628;;
KF;1383;Varberg;ANDOPARTIET; ;1602;;
KF;1383;Varberg;Arbetarepartiet-Socialdemokraterna;S;2;28.11746149563927;https://www.socialdemokraterna.se/
KF;1383;Varberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1383;Varberg;Bjornpartiet; ;1629;;
KF;1383;Varberg;Centerpartiet;C;4;13.093802189645572;https://www.centerpartiet.se/
KF;1383;Varberg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1383;Varberg;Det minst dåliga partiet; ;1622;;
KF;1383;Varberg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1383;Varberg;Drivkraft; ;1621;;
KF;1383;Varberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1383;Varberg;Enad Politik; ;1589;;
KF;1383;Varberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1383;Varberg;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1383;Varberg;Enskild person/Riksdagen val; ;1614;;
KF;1383;Varberg;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1383;Varberg;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1383;Varberg;EUSEC; ;1534;;
KF;1383;Varberg;FAMILJENS FRIHET; ;1606;;
KF;1383;Varberg;Fattigmans parti; ;1618;;
KF;1383;Varberg;Feministiskt initiativ;FI;532;0.20643904249396922;https://feministisktinitiativ.se/
KF;1383;Varberg;FN Parti art.27; ;1631;;
KF;1383;Varberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1383;Varberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1383;Varberg;Fredspartiet; ;1484;;
KF;1383;Varberg;Fria Wermland; ;1548;;https://friawermland.se/
KF;1383;Varberg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1383;Varberg;Fritt val; ;1479;;
KF;1383;Varberg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1383;Varberg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1383;Varberg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1383;Varberg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1383;Varberg;Humanistisk demokrati (HD);HD;1480;;
KF;1383;Varberg;Invandrarpartiet; ;1624;;
KF;1383;Varberg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1383;Varberg;Kalle ankapartiet; ;1579;;
KF;1383;Varberg;Kapitalism med vänligt ansikte; ;1495;;
KF;1383;Varberg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1383;Varberg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1383;Varberg;Kristdemokraterna;KD;68;5.724624234551865;https://kristdemokraterna.se/
KF;1383;Varberg;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1383;Varberg;KSP; ;1612;;
KF;1383;Varberg;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1383;Varberg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1383;Varberg;Liberalerna (tidigare Folkpartiet);L;3;7.466598626832437;https://www.liberalerna.se/
KF;1383;Varberg;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1383;Varberg;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1383;Varberg;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1383;Varberg;Miljöpartiet de gröna;MP;55;2.9550937094080534;https://www.mp.se/
KF;1383;Varberg;Min röst; ;1437;;
KF;1383;Varberg;MITT SVERIGE; ;1591;;
KF;1383;Varberg;MoD; ;1568;;https://partietmod.se/
KF;1383;Varberg;Moderaterna;M;1;20.36555947300056;https://moderaterna.se/
KF;1383;Varberg;Monisterna; ;1502;;
KF;1383;Varberg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1383;Varberg;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1383;Varberg;NaturFilosoferna; ;1460;;
KF;1383;Varberg;Naturistpartiet; ;1627;;
KF;1383;Varberg;Neoteknokraterna; ;1613;;
KF;1383;Varberg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1383;Varberg;Nu får det fan vara nog; ;1623;;
KF;1383;Varberg;Ny Demokrati; ;1596;;
KF;1383;Varberg;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1383;Varberg;Nya Frihetspartiet; ;1443;;
KF;1383;Varberg;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1383;Varberg;OK; ;1478;;
KF;1383;Varberg;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1383;Varberg;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1383;Varberg;Partiet Frihet; ;1599;;
KF;1383;Varberg;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1383;Varberg;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1383;Varberg;Pax; ;1491;;https://www.paxpartiet.se/
KF;1383;Varberg;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1383;Varberg;Politiskt Skifte; ;1617;;
KF;1383;Varberg;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1383;Varberg;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1383;Varberg;Reformpartiet; ;1616;;
KF;1383;Varberg;Rikspolitiska partiet; ;1496;;
KF;1383;Varberg;SKP;Skp;1586;;https://skp.se
KF;1383;Varberg;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1383;Varberg;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1383;Varberg;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1383;Varberg;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1383;Varberg;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1383;Varberg;Svensk Jobbdemokrati; ;1603;;
KF;1383;Varberg;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
