VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1233;Vellinge;Alternativ för Sverige;AfS;1325;
KF;1233;Vellinge;ANDOPARTIET; ;1602;
KF;1233;Vellinge;Arbetarepartiet-Socialdemokraterna;S;2;7.9498074097605524
KF;1233;Vellinge;Basinkomstpartiet; ;1525;
KF;1233;Vellinge;Centerpartiet;C;4;7.477266409879681
KF;1233;Vellinge;Common sense in Sweden;CSIS;1318;0.0
KF;1233;Vellinge;Direktdemokraterna;DD;1150;0.0
KF;1233;Vellinge;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1233;Vellinge;Enad Politik; ;1589;
KF;1233;Vellinge;Enade Sverige; ;1448;
KF;1233;Vellinge;Enhet;ENH;189;0.0
KF;1233;Vellinge;EUSEC; ;1534;
KF;1233;Vellinge;Feministiskt initiativ;FI;532;0.16677917642854306
KF;1233;Vellinge;FOLKOMROSTA2021.SE; ;1489;
KF;1233;Vellinge;FramtidsTro;FT;1449;
KF;1233;Vellinge;Fredspartiet; ;1484;
KF;1233;Vellinge;Fria Wermland; ;1548;
KF;1233;Vellinge;Frihetsrörelsen; ;1573;
KF;1233;Vellinge;Fritt val; ;1479;
KF;1233;Vellinge;Förenade Demokratiska Partiet; ;1577;
KF;1233;Vellinge;Företaget Sverige; ;1510;
KF;1233;Vellinge;GRÖNA DEMOKRATER; ;1601;
KF;1233;Vellinge;Gula västarna; ;1436;
KF;1233;Vellinge;Humanistisk demokrati (HD);HD;1480;
KF;1233;Vellinge;John Mikkonen; ;1598;
KF;1233;Vellinge;Kalle ankapartiet; ;1579;
KF;1233;Vellinge;Kapitalism med vänligt ansikte; ;1495;
KF;1233;Vellinge;Klassiskt liberala partiet;KLP;638;0.0
KF;1233;Vellinge;Knapptryckarna; ;1505;
KF;1233;Vellinge;Kristdemokraterna;KD;68;2.041059444863598
KF;1233;Vellinge;Kristna Värdepartiet; ;1551;
KF;1233;Vellinge;Kärlek; ;1465;
KF;1233;Vellinge;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1233;Vellinge;Liberalerna (tidigare Folkpartiet);L;3;13.791049517531667
KF;1233;Vellinge;Majspartiet; ;1471;
KF;1233;Vellinge;Medborgarresan; ;1330;
KF;1233;Vellinge;Medborgerlig Samling;MED;1296;0.8060993527379582
KF;1233;Vellinge;Miljöpartiet de gröna;MP;55;3.2521939403565896
KF;1233;Vellinge;Min röst; ;1437;
KF;1233;Vellinge;MITT SVERIGE; ;1591;
KF;1233;Vellinge;Moderaterna;M;1;50.42290434022952
KF;1233;Vellinge;Monisterna; ;1502;
KF;1233;Vellinge;Mälaröarnas parti; ;1440;
KF;1233;Vellinge;Nationalister i Vellinge; ;1476;
KF;1233;Vellinge;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1233;Vellinge;NaturFilosoferna; ;1460;
KF;1233;Vellinge;Nix to the Six; ;1519;
KF;1233;Vellinge;NY REFORM; ;1528;
KF;1233;Vellinge;Nya Frihetspartiet; ;1443;
KF;1233;Vellinge;Nya Samhällspartiet; ;1438;
KF;1233;Vellinge;OK; ;1478;
KF;1233;Vellinge;Ond Kyckling Partiet; ;1472;
KF;1233;Vellinge;Partiet Folkomröstning; ;1578;
KF;1233;Vellinge;Partiet Nyans; ;1439;
KF;1233;Vellinge;Partiet Vändpunkt;PV;1430;
KF;1233;Vellinge;Pax; ;1491;
KF;1233;Vellinge;Piratpartiet;PP;524;0.0
KF;1233;Vellinge;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1233;Vellinge;Rastliberalerna; ;1508;
KF;1233;Vellinge;Rikspolitiska partiet; ;1496;
KF;1233;Vellinge;SKP; ;1586;
KF;1233;Vellinge;SKÅNEPARTIET;SKÅ;54;0.0
KF;1233;Vellinge;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1233;Vellinge;Sociallibertarianerna; ;1507;
KF;1233;Vellinge;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1233;Vellinge;Stram Kurs Sverige; ;1592;
KF;1233;Vellinge;Svenska Rikslagen; ;1513;
KF;1233;Vellinge;SVENSKARNA; ;1444;
KF;1233;Vellinge;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1233;Vellinge;Sverigedemokraterna;SD;110;13.453520231902475
KF;1233;Vellinge;Sverigepartiet; ;1457;
KF;1233;Vellinge;Swexitpartiet; ;1461;
KF;1233;Vellinge;Säkerhetspartiet; ;1466;
KF;1233;Vellinge;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1233;Vellinge;Valsamverkanspartiet; ;1526;
KF;1233;Vellinge;Vinningspartiet; ;1468;
KF;1233;Vellinge;Vänsterpartiet;V;5;0.5678433864114681
KF;1233;Vellinge;Yggdrasil; ;1454;
KF;1233;Vellinge;Ändrings partiet revolution; ;1404;
