VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2404;Vindeln;Alternativ för Sverige;AfS;1325;
KF;2404;Vindeln;ANDOPARTIET; ;1602;
KF;2404;Vindeln;Arbetarepartiet-Socialdemokraterna;S;2;38.68061609997094
KF;2404;Vindeln;Basinkomstpartiet; ;1525;
KF;2404;Vindeln;Centerpartiet;C;4;20.92414995640802
KF;2404;Vindeln;Common sense in Sweden;CSIS;1318;0.0
KF;2404;Vindeln;Direktdemokraterna;DD;1150;0.0
KF;2404;Vindeln;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2404;Vindeln;Enad Politik; ;1589;
KF;2404;Vindeln;Enade Sverige; ;1448;
KF;2404;Vindeln;Enhet;ENH;189;0.0
KF;2404;Vindeln;EUSEC; ;1534;
KF;2404;Vindeln;Feministiskt initiativ;FI;532;0.17436791630340018
KF;2404;Vindeln;FOLKOMROSTA2021.SE; ;1489;
KF;2404;Vindeln;FramtidsTro;FT;1449;
KF;2404;Vindeln;Fredspartiet; ;1484;
KF;2404;Vindeln;Fria Wermland; ;1548;
KF;2404;Vindeln;Frihetsrörelsen; ;1573;
KF;2404;Vindeln;Fritt val; ;1479;
KF;2404;Vindeln;Förenade Demokratiska Partiet; ;1577;
KF;2404;Vindeln;Företaget Sverige; ;1510;
KF;2404;Vindeln;GRÖNA DEMOKRATER; ;1601;
KF;2404;Vindeln;Gula västarna; ;1436;
KF;2404;Vindeln;Humanistisk demokrati (HD);HD;1480;
KF;2404;Vindeln;John Mikkonen; ;1598;
KF;2404;Vindeln;Kalle ankapartiet; ;1579;
KF;2404;Vindeln;Kapitalism med vänligt ansikte; ;1495;
KF;2404;Vindeln;Klassiskt liberala partiet;KLP;638;0.0
KF;2404;Vindeln;Knapptryckarna; ;1505;
KF;2404;Vindeln;Kristdemokraterna;KD;68;7.178145887823308
KF;2404;Vindeln;Kristna Värdepartiet; ;1551;
KF;2404;Vindeln;Kärlek; ;1465;
KF;2404;Vindeln;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2404;Vindeln;Liberalerna (tidigare Folkpartiet);L;3;0.6102877070619006
KF;2404;Vindeln;Majspartiet; ;1471;
KF;2404;Vindeln;Medborgarresan; ;1330;
KF;2404;Vindeln;Medborgerlig Samling;MED;1296;0.0
KF;2404;Vindeln;Miljöpartiet de gröna;MP;55;0.7846556233653008
KF;2404;Vindeln;Min röst; ;1437;
KF;2404;Vindeln;MITT SVERIGE; ;1591;
KF;2404;Vindeln;Moderaterna;M;1;17.55303690787562
KF;2404;Vindeln;Monisterna; ;1502;
KF;2404;Vindeln;Mälaröarnas parti; ;1440;
KF;2404;Vindeln;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2404;Vindeln;NaturFilosoferna; ;1460;
KF;2404;Vindeln;Nix to the Six; ;1519;
KF;2404;Vindeln;NY REFORM; ;1528;
KF;2404;Vindeln;Nya Frihetspartiet; ;1443;
KF;2404;Vindeln;Nya Samhällspartiet; ;1438;
KF;2404;Vindeln;OK; ;1478;
KF;2404;Vindeln;Ond Kyckling Partiet; ;1472;
KF;2404;Vindeln;Partiet Folkomröstning; ;1578;
KF;2404;Vindeln;Partiet Nyans; ;1439;
KF;2404;Vindeln;Partiet Vändpunkt;PV;1430;
KF;2404;Vindeln;Pax; ;1491;
KF;2404;Vindeln;Piratpartiet;PP;524;0.0
KF;2404;Vindeln;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2404;Vindeln;Rastliberalerna; ;1508;
KF;2404;Vindeln;Rikspolitiska partiet; ;1496;
KF;2404;Vindeln;SKP; ;1586;
KF;2404;Vindeln;SKÅNEPARTIET;SKÅ;54;0.0
KF;2404;Vindeln;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2404;Vindeln;Sociallibertarianerna; ;1507;
KF;2404;Vindeln;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2404;Vindeln;Stram Kurs Sverige; ;1592;
KF;2404;Vindeln;Svenska Rikslagen; ;1513;
KF;2404;Vindeln;SVENSKARNA; ;1444;
KF;2404;Vindeln;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2404;Vindeln;Sverigedemokraterna;SD;110;8.369659982563208
KF;2404;Vindeln;Sverigepartiet; ;1457;
KF;2404;Vindeln;Swexitpartiet; ;1461;
KF;2404;Vindeln;Säkerhetspartiet; ;1466;
KF;2404;Vindeln;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2404;Vindeln;Valsamverkanspartiet; ;1526;
KF;2404;Vindeln;Vinningspartiet; ;1468;
KF;2404;Vindeln;Vänsterpartiet;V;5;5.637895960476605
KF;2404;Vindeln;Yggdrasil; ;1454;
KF;2404;Vindeln;Ändrings partiet revolution; ;1404;
