VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1487;Vänersborg;Alternativ för Sverige;AfS;1325;
KF;1487;Vänersborg;ANDOPARTIET; ;1602;
KF;1487;Vänersborg;Arbetarepartiet-Socialdemokraterna;S;2;28.108874620868953
KF;1487;Vänersborg;Basinkomstpartiet; ;1525;
KF;1487;Vänersborg;Centerpartiet;C;4;8.449206286682161
KF;1487;Vänersborg;Common sense in Sweden;CSIS;1318;0.0
KF;1487;Vänersborg;Direktdemokraterna;DD;1150;0.0
KF;1487;Vänersborg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1487;Vänersborg;Enad Politik; ;1589;
KF;1487;Vänersborg;Enade Sverige; ;1448;
KF;1487;Vänersborg;Enhet;ENH;189;0.0
KF;1487;Vänersborg;EUSEC; ;1534;
KF;1487;Vänersborg;Feministiskt initiativ;FI;532;0.17725607594438098
KF;1487;Vänersborg;FOLKOMROSTA2021.SE; ;1489;
KF;1487;Vänersborg;FramtidsTro;FT;1449;
KF;1487;Vänersborg;Fredspartiet; ;1484;
KF;1487;Vänersborg;Fria Wermland; ;1548;
KF;1487;Vänersborg;Frihetsrörelsen; ;1573;
KF;1487;Vänersborg;Fritt val; ;1479;
KF;1487;Vänersborg;Förenade Demokratiska Partiet; ;1577;
KF;1487;Vänersborg;Företaget Sverige; ;1510;
KF;1487;Vänersborg;GRÖNA DEMOKRATER; ;1601;
KF;1487;Vänersborg;Gula västarna; ;1436;
KF;1487;Vänersborg;Humanistisk demokrati (HD);HD;1480;
KF;1487;Vänersborg;John Mikkonen; ;1598;
KF;1487;Vänersborg;Kalle ankapartiet; ;1579;
KF;1487;Vänersborg;Kapitalism med vänligt ansikte; ;1495;
KF;1487;Vänersborg;Klassiskt liberala partiet;KLP;638;0.0
KF;1487;Vänersborg;Knapptryckarna; ;1505;
KF;1487;Vänersborg;Kristdemokraterna;KD;68;6.014889510379328
KF;1487;Vänersborg;Kristna Värdepartiet; ;1551;
KF;1487;Vänersborg;Kärlek; ;1465;
KF;1487;Vänersborg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1487;Vänersborg;Liberalerna (tidigare Folkpartiet);L;3;5.089218891558671
KF;1487;Vänersborg;Majspartiet; ;1471;
KF;1487;Vänersborg;Medborgarpartiet;Vfp;505;3.5175483515184935
KF;1487;Vänersborg;Medborgarresan; ;1330;
KF;1487;Vänersborg;Medborgerlig Samling;MED;1296;0.0
KF;1487;Vänersborg;Miljöpartiet de gröna;MP;55;3.8169141686690033
KF;1487;Vänersborg;Min röst; ;1437;
KF;1487;Vänersborg;MITT SVERIGE; ;1591;
KF;1487;Vänersborg;Moderaterna;M;1;18.434631898215624
KF;1487;Vänersborg;Monisterna; ;1502;
KF;1487;Vänersborg;Mälaröarnas parti; ;1440;
KF;1487;Vänersborg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1487;Vänersborg;NaturFilosoferna; ;1460;
KF;1487;Vänersborg;Nix to the Six; ;1519;
KF;1487;Vänersborg;NY REFORM; ;1528;
KF;1487;Vänersborg;Nya Frihetspartiet; ;1443;
KF;1487;Vänersborg;Nya Samhällspartiet; ;1438;
KF;1487;Vänersborg;OK; ;1478;
KF;1487;Vänersborg;Ond Kyckling Partiet; ;1472;
KF;1487;Vänersborg;Partiet Folkomröstning; ;1578;
KF;1487;Vänersborg;Partiet Nyans; ;1439;
KF;1487;Vänersborg;Partiet Vändpunkt;PV;1430;
KF;1487;Vänersborg;Pax; ;1491;
KF;1487;Vänersborg;Piratpartiet;PP;524;0.0
KF;1487;Vänersborg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1487;Vänersborg;Rastliberalerna; ;1508;
KF;1487;Vänersborg;Rikspolitiska partiet; ;1496;
KF;1487;Vänersborg;SKP; ;1586;
KF;1487;Vänersborg;SKÅNEPARTIET;SKÅ;54;0.0
KF;1487;Vänersborg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1487;Vänersborg;Sociallibertarianerna; ;1507;
KF;1487;Vänersborg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1487;Vänersborg;Stram Kurs Sverige; ;1592;
KF;1487;Vänersborg;Svenska Rikslagen; ;1513;
KF;1487;Vänersborg;SVENSKARNA; ;1444;
KF;1487;Vänersborg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1487;Vänersborg;Sverigedemokraterna;SD;110;17.359278370819712
KF;1487;Vänersborg;Sverigepartiet; ;1457;
KF;1487;Vänersborg;Swexitpartiet; ;1461;
KF;1487;Vänersborg;Säkerhetspartiet; ;1466;
KF;1487;Vänersborg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1487;Vänersborg;Valsamverkanspartiet; ;1526;
KF;1487;Vänersborg;Vinningspartiet; ;1468;
KF;1487;Vänersborg;Vänsterpartiet;V;5;8.803718438570922
KF;1487;Vänersborg;Yggdrasil; ;1454;
KF;1487;Vänersborg;Ändrings partiet revolution; ;1404;
