VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;120;Värmdö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;120;Värmdö;ANDOPARTIET; ;1602;;
KF;120;Värmdö;Arbetarepartiet-Socialdemokraterna;S;2;26.843160004218962;https://www.socialdemokraterna.se/
KF;120;Värmdö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;120;Värmdö;Centerpartiet;C;4;8.849277502373168;https://www.centerpartiet.se/
KF;120;Värmdö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;120;Värmdö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;120;Värmdö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;120;Värmdö;Enad Politik; ;1589;;
KF;120;Värmdö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;120;Värmdö;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;120;Värmdö;EUSEC; ;1534;;
KF;120;Värmdö;Feministiskt initiativ;FI;532;0.47111767394438;https://feministisktinitiativ.se/
KF;120;Värmdö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;120;Värmdö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;120;Värmdö;Fredspartiet; ;1484;;
KF;120;Värmdö;Fria Wermland; ;1548;;https://friawermland.se/
KF;120;Värmdö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;120;Värmdö;Fritt val; ;1479;;
KF;120;Värmdö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;120;Värmdö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;120;Värmdö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;120;Värmdö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;120;Värmdö;Humanistisk demokrati (HD);HD;1480;;
KF;120;Värmdö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;120;Värmdö;Kalle ankapartiet; ;1579;;
KF;120;Värmdö;Kapitalism med vänligt ansikte; ;1495;;
KF;120;Värmdö;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;120;Värmdö;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;120;Värmdö;Kristdemokraterna;KD;68;5.5092641423197275;https://kristdemokraterna.se/
KF;120;Värmdö;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;120;Värmdö;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;120;Värmdö;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;120;Värmdö;Liberalerna (tidigare Folkpartiet);L;3;6.7855008262138305;https://www.liberalerna.se/
KF;120;Värmdö;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;120;Värmdö;Medborgarresan; ;1330;;https://citizenwell.se/
KF;120;Värmdö;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;120;Värmdö;Miljöpartiet de gröna;MP;55;6.581584221073726;https://www.mp.se/
KF;120;Värmdö;Min röst; ;1437;;
KF;120;Värmdö;Mitt Parti Värmdö;MPV;1520;;https://www.mittparti.com/
KF;120;Värmdö;MITT SVERIGE; ;1591;;
KF;120;Värmdö;Moderaterna;M;1;27.27911964279436;https://moderaterna.se/
KF;120;Värmdö;Monisterna; ;1502;;
KF;120;Värmdö;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;120;Värmdö;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;120;Värmdö;NaturFilosoferna; ;1460;;
KF;120;Värmdö;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;120;Värmdö;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;120;Värmdö;Nya Frihetspartiet; ;1443;;
KF;120;Värmdö;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;120;Värmdö;OK; ;1478;;
KF;120;Värmdö;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;120;Värmdö;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;120;Värmdö;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;120;Värmdö;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;120;Värmdö;Pax; ;1491;;https://www.paxpartiet.se/
KF;120;Värmdö;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;120;Värmdö;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;120;Värmdö;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;120;Värmdö;Rikspolitiska partiet; ;1496;;
KF;120;Värmdö;SKP; ;1586;;https://skp.se
KF;120;Värmdö;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;120;Värmdö;Skärgårdspartiet; ;1533;;https://skargardspartiet.se/
KF;120;Värmdö;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;120;Värmdö;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;120;Värmdö;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;120;Värmdö;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;120;Värmdö;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;120;Värmdö;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;120;Värmdö;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;120;Värmdö;Sverigedemokraterna;SD;110;12.874872552121788;https://sd.se/
KF;120;Värmdö;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;120;Värmdö;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;120;Värmdö;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;120;Värmdö;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;120;Värmdö;Valsamverkanspartiet; ;1526;;
KF;120;Värmdö;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;120;Värmdö;Vänsterpartiet;V;5;4.574060401504764;https://www.vansterpartiet.se/
KF;120;Värmdö;Yggdrasil; ;1454;;
KF;120;Värmdö;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
