VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;883;Västervik;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;883;Västervik;ANDOPARTIET; ;1602;;
KF;883;Västervik;Arbetarepartiet-Socialdemokraterna;S;2;32.15612624015024;https://www.socialdemokraterna.se/
KF;883;Västervik;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;883;Västervik;Centerpartiet;C;4;9.533336055199443;https://www.centerpartiet.se/
KF;883;Västervik;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;883;Västervik;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;883;Västervik;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;883;Västervik;Enad Politik; ;1589;;
KF;883;Västervik;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;883;Västervik;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;883;Västervik;EUSEC; ;1534;;
KF;883;Västervik;Feministiskt initiativ;FI;532;0.13881517168170499;https://feministisktinitiativ.se/
KF;883;Västervik;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;883;Västervik;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;883;Västervik;Fredspartiet; ;1484;;
KF;883;Västervik;Fria Wermland; ;1548;;https://friawermland.se/
KF;883;Västervik;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;883;Västervik;Fritt val; ;1479;;
KF;883;Västervik;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;883;Västervik;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;883;Västervik;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;883;Västervik;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;883;Västervik;Humanistisk demokrati (HD);HD;1480;;
KF;883;Västervik;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;883;Västervik;Kalle ankapartiet; ;1579;;
KF;883;Västervik;Kapitalism med vänligt ansikte; ;1495;;
KF;883;Västervik;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;883;Västervik;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;883;Västervik;Kristdemokraterna;KD;68;3.919487200424611;https://kristdemokraterna.se/
KF;883;Västervik;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;883;Västervik;Kärlek; ;1465;;
KF;883;Västervik;Landsbygdspartiet Oberoende;LPo;1011;0.3429551300371535;https://landsbygdspartiet.org/
KF;883;Västervik;Liberalerna (tidigare Folkpartiet);L;3;4.633977054668681;https://www.liberalerna.se/
KF;883;Västervik;Majspartiet; ;1471;;
KF;883;Västervik;Medborgarresan; ;1330;;https://citizenwell.se/
KF;883;Västervik;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;883;Västervik;Miljöpartiet de gröna;MP;55;2.845711019474952;https://www.mp.se/
KF;883;Västervik;Min röst; ;1437;;
KF;883;Västervik;MITT SVERIGE; ;1591;;
KF;883;Västervik;Moderaterna;M;1;20.234352672192056;https://moderaterna.se/
KF;883;Västervik;Monisterna; ;1502;;
KF;883;Västervik;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;883;Västervik;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;883;Västervik;NaturFilosoferna; ;1460;;
KF;883;Västervik;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;883;Västervik;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;883;Västervik;Nya Frihetspartiet; ;1443;;
KF;883;Västervik;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;883;Västervik;OK; ;1478;;
KF;883;Västervik;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;883;Västervik;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;883;Västervik;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;883;Västervik;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;883;Västervik;Pax; ;1491;;https://www.paxpartiet.se/
KF;883;Västervik;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;883;Västervik;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;883;Västervik;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;883;Västervik;Rikspolitiska partiet; ;1496;;
KF;883;Västervik;SKP; ;1586;;https://skp.se
KF;883;Västervik;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;883;Västervik;Socialisterna-Välfärdspartiet;S-V;977;5.054505368880904;https://www.valfardspartiet.org/
KF;883;Västervik;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;883;Västervik;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;883;Västervik;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;883;Västervik;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;883;Västervik;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;883;Västervik;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;883;Västervik;Sverigedemokraterna;SD;110;11.689054015432982;https://sd.se/
KF;883;Västervik;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;883;Västervik;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;883;Västervik;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;883;Västervik;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;883;Västervik;Valsamverkanspartiet; ;1526;;
KF;883;Västervik;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;883;Västervik;Vänsterpartiet;V;5;4.964683787204508;https://www.vansterpartiet.se/
KF;883;Västervik;Westerwikspartiet;VDM;27;3.674519250398073;
KF;883;Västervik;Yggdrasil; ;1454;;
KF;883;Västervik;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
