VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;780;Växjö;Alternativ för Sverige;AfS;1325;
KF;780;Växjö;ANDOPARTIET; ;1602;
KF;780;Växjö;Arbetarepartiet-Socialdemokraterna;S;2;30.705206571433358
KF;780;Växjö;Basinkomstpartiet; ;1525;
KF;780;Växjö;Centerpartiet;C;4;7.525999363622662
KF;780;Växjö;Common sense in Sweden;CSIS;1318;0.0
KF;780;Växjö;Direktdemokraterna;DD;1150;0.0
KF;780;Växjö;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;780;Växjö;Enad Politik; ;1589;
KF;780;Växjö;Enade Sverige; ;1448;
KF;780;Växjö;Enhet;ENH;189;0.0
KF;780;Växjö;EUSEC; ;1534;
KF;780;Växjö;Feministiskt initiativ;FI;532;0.33326076398774135
KF;780;Växjö;FOLKOMROSTA2021.SE; ;1489;
KF;780;Växjö;FramtidsTro;FT;1449;
KF;780;Växjö;Fredspartiet; ;1484;
KF;780;Växjö;Fria Wermland; ;1548;
KF;780;Växjö;Frihetsrörelsen; ;1573;
KF;780;Växjö;Fritt val; ;1479;
KF;780;Växjö;Förenade Demokratiska Partiet; ;1577;
KF;780;Växjö;Företaget Sverige; ;1510;
KF;780;Växjö;GRÖNA DEMOKRATER; ;1601;
KF;780;Växjö;Gula västarna; ;1436;
KF;780;Växjö;Humanistisk demokrati (HD);HD;1480;
KF;780;Växjö;John Mikkonen; ;1598;
KF;780;Växjö;Kalle ankapartiet; ;1579;
KF;780;Växjö;Kapitalism med vänligt ansikte; ;1495;
KF;780;Växjö;Klassiskt liberala partiet;KLP;638;0.0
KF;780;Växjö;Knapptryckarna; ;1505;
KF;780;Växjö;Kristdemokraterna;KD;68;5.677155728233383
KF;780;Växjö;Kristna Värdepartiet; ;1551;
KF;780;Växjö;Kärlek; ;1465;
KF;780;Växjö;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;780;Växjö;Liberalerna (tidigare Folkpartiet);L;3;4.26037881198399
KF;780;Växjö;Majspartiet; ;1471;
KF;780;Växjö;Medborgarresan; ;1330;
KF;780;Växjö;Medborgerlig Samling;MED;1296;0.21938271398188
KF;780;Växjö;Miljöpartiet de gröna;MP;55;4.158223502419908
KF;780;Växjö;Min röst; ;1437;
KF;780;Växjö;MITT SVERIGE; ;1591;
KF;780;Växjö;Moderaterna;M;1;29.534607204461338
KF;780;Växjö;Monisterna; ;1502;
KF;780;Växjö;Mälaröarnas parti; ;1440;
KF;780;Växjö;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;780;Växjö;NaturFilosoferna; ;1460;
KF;780;Växjö;Nix to the Six; ;1519;
KF;780;Växjö;NY REFORM; ;1528;
KF;780;Växjö;Nya Frihetspartiet; ;1443;
KF;780;Växjö;Nya Samhällspartiet; ;1438;
KF;780;Växjö;OK; ;1478;
KF;780;Växjö;Ond Kyckling Partiet; ;1472;
KF;780;Växjö;Partiet Folkomröstning; ;1578;
KF;780;Växjö;Partiet Nyans; ;1439;
KF;780;Växjö;Partiet Vändpunkt;PV;1430;
KF;780;Växjö;Pax; ;1491;
KF;780;Växjö;Piratpartiet;PP;524;0.0
KF;780;Växjö;Positivt Samhällsinitiativ (PSI); ;1475;
KF;780;Växjö;Rastliberalerna; ;1508;
KF;780;Växjö;Rikspolitiska partiet; ;1496;
KF;780;Växjö;SKP; ;1586;
KF;780;Växjö;SKÅNEPARTIET;SKÅ;54;0.0
KF;780;Växjö;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;780;Växjö;Sociallibertarianerna; ;1507;
KF;780;Växjö;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;780;Växjö;Stram Kurs Sverige; ;1592;
KF;780;Växjö;Svenska Rikslagen; ;1513;
KF;780;Växjö;SVENSKARNA; ;1444;
KF;780;Växjö;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;780;Växjö;Sverigedemokraterna;SD;110;8.678177281329024
KF;780;Växjö;Sverigepartiet; ;1457;
KF;780;Växjö;Swexitpartiet; ;1461;
KF;780;Växjö;Säkerhetspartiet; ;1466;
KF;780;Växjö;TRYGGHETSPARTIET;TRP;1309;0.0
KF;780;Växjö;Valsamverkanspartiet; ;1526;
KF;780;Växjö;Vinningspartiet; ;1468;
KF;780;Växjö;Vänsterpartiet;V;5;8.177448796744427
KF;780;Växjö;Yggdrasil; ;1454;
KF;780;Växjö;Ändrings partiet revolution; ;1404;
