VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;765;Älmhult;Alternativ för Sverige;AfS;1325;
KF;765;Älmhult;ANDOPARTIET; ;1602;
KF;765;Älmhult;Arbetarepartiet-Socialdemokraterna;S;2;29.711408096068176
KF;765;Älmhult;Basinkomstpartiet; ;1525;
KF;765;Älmhult;Centerpartiet;C;4;22.33197753244238
KF;765;Älmhult;Common sense in Sweden;CSIS;1318;0.0
KF;765;Älmhult;Direktdemokraterna;DD;1150;0.0
KF;765;Älmhult;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;765;Älmhult;Enad Politik; ;1589;
KF;765;Älmhult;Enade Sverige; ;1448;
KF;765;Älmhult;Enhet;ENH;189;0.0
KF;765;Älmhult;EUSEC; ;1534;
KF;765;Älmhult;Feministiskt initiativ;FI;532;0.12589579701723805
KF;765;Älmhult;FOLKOMROSTA2021.SE; ;1489;
KF;765;Älmhult;FramtidsTro;FT;1449;
KF;765;Älmhult;Fredspartiet; ;1484;
KF;765;Älmhult;Fria Wermland; ;1548;
KF;765;Älmhult;Frihetsrörelsen; ;1573;
KF;765;Älmhult;Fritt val; ;1479;
KF;765;Älmhult;Förenade Demokratiska Partiet; ;1577;
KF;765;Älmhult;Företaget Sverige; ;1510;
KF;765;Älmhult;GRÖNA DEMOKRATER; ;1601;
KF;765;Älmhult;Gula västarna; ;1436;
KF;765;Älmhult;Humanistisk demokrati (HD);HD;1480;
KF;765;Älmhult;John Mikkonen; ;1598;
KF;765;Älmhult;Kalle ankapartiet; ;1579;
KF;765;Älmhult;Kapitalism med vänligt ansikte; ;1495;
KF;765;Älmhult;Klassiskt liberala partiet;KLP;638;0.0
KF;765;Älmhult;Knapptryckarna; ;1505;
KF;765;Älmhult;Kristdemokraterna;KD;68;5.248886306411001
KF;765;Älmhult;Kristna Värdepartiet; ;1551;
KF;765;Älmhult;Kärlek; ;1465;
KF;765;Älmhult;Landsbygdspartiet Oberoende;LPo;1011;1.210536509781135
KF;765;Älmhult;Liberalerna (tidigare Folkpartiet);L;3;3.980244044160372
KF;765;Älmhult;Majspartiet; ;1471;
KF;765;Älmhult;Medborgarresan; ;1330;
KF;765;Älmhult;Medborgerlig Samling;MED;1296;0.0
KF;765;Älmhult;Miljöpartiet de gröna;MP;55;2.9149719155529734
KF;765;Älmhult;Min röst; ;1437;
KF;765;Älmhult;MITT SVERIGE; ;1591;
KF;765;Älmhult;Moderaterna;M;1;18.254890567499515
KF;765;Älmhult;Monisterna; ;1502;
KF;765;Älmhult;Mälaröarnas parti; ;1440;
KF;765;Älmhult;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;765;Älmhult;NaturFilosoferna; ;1460;
KF;765;Älmhult;Nix to the Six; ;1519;
KF;765;Älmhult;NY REFORM; ;1528;
KF;765;Älmhult;Nya Frihetspartiet; ;1443;
KF;765;Älmhult;Nya Samhällspartiet; ;1438;
KF;765;Älmhult;OK; ;1478;
KF;765;Älmhult;Ond Kyckling Partiet; ;1472;
KF;765;Älmhult;Partiet Folkomröstning; ;1578;
KF;765;Älmhult;Partiet Nyans; ;1439;
KF;765;Älmhult;Partiet Vändpunkt;PV;1430;
KF;765;Älmhult;Pax; ;1491;
KF;765;Älmhult;Piratpartiet;PP;524;0.0
KF;765;Älmhult;Positivt Samhällsinitiativ (PSI); ;1475;
KF;765;Älmhult;Rastliberalerna; ;1508;
KF;765;Älmhult;Rikspolitiska partiet; ;1496;
KF;765;Älmhult;SKP; ;1586;
KF;765;Älmhult;SKÅNEPARTIET;SKÅ;54;0.0
KF;765;Älmhult;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;765;Älmhult;Sociallibertarianerna; ;1507;
KF;765;Älmhult;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;765;Älmhult;Stram Kurs Sverige; ;1592;
KF;765;Älmhult;Svenska Rikslagen; ;1513;
KF;765;Älmhult;SVENSKARNA; ;1444;
KF;765;Älmhult;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;765;Älmhult;Sverigedemokraterna;SD;110;11.078830137516947
KF;765;Älmhult;Sverigepartiet; ;1457;
KF;765;Älmhult;Swexitpartiet; ;1461;
KF;765;Älmhult;Säkerhetspartiet; ;1466;
KF;765;Älmhult;TRYGGHETSPARTIET;TRP;1309;0.0
KF;765;Älmhult;Valsamverkanspartiet; ;1526;
KF;765;Älmhult;Vinningspartiet; ;1468;
KF;765;Älmhult;Vänsterpartiet;V;5;5.103621925237265
KF;765;Älmhult;Yggdrasil; ;1454;
KF;765;Älmhult;Ändrings partiet revolution; ;1404;
