VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2039;Älvdalen;Alternativ för Sverige;AfS;1325;
KF;2039;Älvdalen;ANDOPARTIET; ;1602;
KF;2039;Älvdalen;Arbetarepartiet-Socialdemokraterna;S;2;28.843710292249046
KF;2039;Älvdalen;Basinkomstpartiet; ;1525;
KF;2039;Älvdalen;Centerpartiet;C;4;29.923761118170265
KF;2039;Älvdalen;Common sense in Sweden;CSIS;1318;0.0
KF;2039;Älvdalen;Direktdemokraterna;DD;1150;0.0
KF;2039;Älvdalen;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2039;Älvdalen;Enad Politik; ;1589;
KF;2039;Älvdalen;Enade Sverige; ;1448;
KF;2039;Älvdalen;Enhet;ENH;189;0.0
KF;2039;Älvdalen;EUSEC; ;1534;
KF;2039;Älvdalen;Feministiskt initiativ;FI;532;0.08470986869970351
KF;2039;Älvdalen;FOLKOMROSTA2021.SE; ;1489;
KF;2039;Älvdalen;FramtidsTro;FT;1449;
KF;2039;Älvdalen;Fredspartiet; ;1484;
KF;2039;Älvdalen;Fria Wermland; ;1548;
KF;2039;Älvdalen;Frihetsrörelsen; ;1573;
KF;2039;Älvdalen;Fritt val; ;1479;
KF;2039;Älvdalen;Förenade Demokratiska Partiet; ;1577;
KF;2039;Älvdalen;Företaget Sverige; ;1510;
KF;2039;Älvdalen;GRÖNA DEMOKRATER; ;1601;
KF;2039;Älvdalen;Gula västarna; ;1436;
KF;2039;Älvdalen;Humanistisk demokrati (HD);HD;1480;
KF;2039;Älvdalen;John Mikkonen; ;1598;
KF;2039;Älvdalen;Kalle ankapartiet; ;1579;
KF;2039;Älvdalen;Kapitalism med vänligt ansikte; ;1495;
KF;2039;Älvdalen;Klassiskt liberala partiet;KLP;638;0.0
KF;2039;Älvdalen;Knapptryckarna; ;1505;
KF;2039;Älvdalen;Kommunlistan;KL;512;9.360440491317238
KF;2039;Älvdalen;Kristdemokraterna;KD;68;0.6565014824227022
KF;2039;Älvdalen;Kristna Värdepartiet; ;1551;
KF;2039;Älvdalen;Kärlek; ;1465;
KF;2039;Älvdalen;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2039;Älvdalen;Liberalerna (tidigare Folkpartiet);L;3;2.435408725116476
KF;2039;Älvdalen;Majspartiet; ;1471;
KF;2039;Älvdalen;Medborgarresan; ;1330;
KF;2039;Älvdalen;Medborgerlig Samling;MED;1296;0.0
KF;2039;Älvdalen;Miljöpartiet de gröna;MP;55;1.6518424396442184
KF;2039;Älvdalen;Min röst; ;1437;
KF;2039;Älvdalen;MITT SVERIGE; ;1591;
KF;2039;Älvdalen;Moderaterna;M;1;9.487505294366795
KF;2039;Älvdalen;Monisterna; ;1502;
KF;2039;Älvdalen;Mälaröarnas parti; ;1440;
KF;2039;Älvdalen;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2039;Älvdalen;NaturFilosoferna; ;1460;
KF;2039;Älvdalen;Nix to the Six; ;1519;
KF;2039;Älvdalen;NY REFORM; ;1528;
KF;2039;Älvdalen;Nya Frihetspartiet; ;1443;
KF;2039;Älvdalen;Nya Samhällspartiet; ;1438;
KF;2039;Älvdalen;OK; ;1478;
KF;2039;Älvdalen;Ond Kyckling Partiet; ;1472;
KF;2039;Älvdalen;Partiet Folkomröstning; ;1578;
KF;2039;Älvdalen;Partiet Nyans; ;1439;
KF;2039;Älvdalen;Partiet Vändpunkt;PV;1430;
KF;2039;Älvdalen;Pax; ;1491;
KF;2039;Älvdalen;Piratpartiet;PP;524;0.0
KF;2039;Älvdalen;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2039;Älvdalen;Rastliberalerna; ;1508;
KF;2039;Älvdalen;Rikspolitiska partiet; ;1496;
KF;2039;Älvdalen;SKP; ;1586;
KF;2039;Älvdalen;SKÅNEPARTIET;SKÅ;54;0.0
KF;2039;Älvdalen;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2039;Älvdalen;Sociallibertarianerna; ;1507;
KF;2039;Älvdalen;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2039;Älvdalen;Stram Kurs Sverige; ;1592;
KF;2039;Älvdalen;Svenska Rikslagen; ;1513;
KF;2039;Älvdalen;SVENSKARNA; ;1444;
KF;2039;Älvdalen;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2039;Älvdalen;Sverigedemokraterna;SD;110;14.188903007200338
KF;2039;Älvdalen;Sverigepartiet; ;1457;
KF;2039;Älvdalen;Swexitpartiet; ;1461;
KF;2039;Älvdalen;Säkerhetspartiet; ;1466;
KF;2039;Älvdalen;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2039;Älvdalen;Valsamverkanspartiet; ;1526;
KF;2039;Älvdalen;Vinningspartiet; ;1468;
KF;2039;Älvdalen;Vänsterpartiet;V;5;3.1342651418890304
KF;2039;Älvdalen;Yggdrasil; ;1454;
KF;2039;Älvdalen;Ändrings partiet revolution; ;1404;
