VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;319;Älvkarleby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;319;Älvkarleby;ANDOPARTIET; ;1602;;
KF;319;Älvkarleby;Arbetarepartiet-Socialdemokraterna;S;2;38.07106598984771;https://www.socialdemokraterna.se/
KF;319;Älvkarleby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;319;Älvkarleby;Centerpartiet;C;4;6.025871950221058;https://www.centerpartiet.se/
KF;319;Älvkarleby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;319;Älvkarleby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;319;Älvkarleby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;319;Älvkarleby;Enad Politik; ;1589;;
KF;319;Älvkarleby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;319;Älvkarleby;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;319;Älvkarleby;EUSEC; ;1534;;
KF;319;Älvkarleby;Feministiskt initiativ;FI;532;0.16374652038644177;https://feministisktinitiativ.se/
KF;319;Älvkarleby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;319;Älvkarleby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;319;Älvkarleby;Fredspartiet; ;1484;;
KF;319;Älvkarleby;Fria Wermland; ;1548;;https://friawermland.se/
KF;319;Älvkarleby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;319;Älvkarleby;Fritt val; ;1479;;
KF;319;Älvkarleby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;319;Älvkarleby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;319;Älvkarleby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;319;Älvkarleby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;319;Älvkarleby;Humanistisk demokrati (HD);HD;1480;;
KF;319;Älvkarleby;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;319;Älvkarleby;Kalle ankapartiet; ;1579;;
KF;319;Älvkarleby;Kapitalism med vänligt ansikte; ;1495;;
KF;319;Älvkarleby;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;319;Älvkarleby;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;319;Älvkarleby;Kommunens Väl;KV;40;11.102014082200753;https://www.facebook.com/kommunensval.se/
KF;319;Älvkarleby;Kristdemokraterna;KD;68;2.9801866710332403;https://kristdemokraterna.se/
KF;319;Älvkarleby;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;319;Älvkarleby;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;319;Älvkarleby;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;319;Älvkarleby;Liberalerna (tidigare Folkpartiet);L;3;2.3415752415261175;https://www.liberalerna.se/
KF;319;Älvkarleby;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;319;Älvkarleby;Medborgarresan; ;1330;;https://citizenwell.se/
KF;319;Älvkarleby;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;319;Älvkarleby;Miljöpartiet de gröna;MP;55;2.6035696741444245;https://www.mp.se/
KF;319;Älvkarleby;Min röst; ;1437;;
KF;319;Älvkarleby;MITT SVERIGE; ;1591;;
KF;319;Älvkarleby;Moderaterna;M;1;12.62485672179466;https://moderaterna.se/
KF;319;Älvkarleby;Monisterna; ;1502;;
KF;319;Älvkarleby;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;319;Älvkarleby;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;319;Älvkarleby;NaturFilosoferna; ;1460;;
KF;319;Älvkarleby;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;319;Älvkarleby;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;319;Älvkarleby;Nya Frihetspartiet; ;1443;;
KF;319;Älvkarleby;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
