VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1492;Åmål;Alternativ för Sverige;AfS;1325;
KF;1492;Åmål;ANDOPARTIET; ;1602;
KF;1492;Åmål;Arbetarepartiet-Socialdemokraterna;S;2;44.120926774873006
KF;1492;Åmål;Basinkomstpartiet; ;1525;
KF;1492;Åmål;Centerpartiet;C;4;10.49436253252385
KF;1492;Åmål;Common sense in Sweden;CSIS;1318;0.0
KF;1492;Åmål;Direktdemokraterna;DD;1150;0.0
KF;1492;Åmål;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1492;Åmål;Enad Politik; ;1589;
KF;1492;Åmål;Enade Sverige; ;1448;
KF;1492;Åmål;Enhet;ENH;189;0.0
KF;1492;Åmål;EUSEC; ;1534;
KF;1492;Åmål;Feministiskt initiativ;FI;532;0.1610704993185479
KF;1492;Åmål;FOLKOMROSTA2021.SE; ;1489;
KF;1492;Åmål;FramtidsTro;FT;1449;
KF;1492;Åmål;Fredspartiet; ;1484;
KF;1492;Åmål;Fria Wermland; ;1548;
KF;1492;Åmål;Frihetsrörelsen; ;1573;
KF;1492;Åmål;Fritt val; ;1479;
KF;1492;Åmål;Förenade Demokratiska Partiet; ;1577;
KF;1492;Åmål;Företaget Sverige; ;1510;
KF;1492;Åmål;GRÖNA DEMOKRATER; ;1601;
KF;1492;Åmål;Gula västarna; ;1436;
KF;1492;Åmål;Humanistisk demokrati (HD);HD;1480;
KF;1492;Åmål;John Mikkonen; ;1598;
KF;1492;Åmål;Kalle ankapartiet; ;1579;
KF;1492;Åmål;Kapitalism med vänligt ansikte; ;1495;
KF;1492;Åmål;Klassiskt liberala partiet;KLP;638;0.0
KF;1492;Åmål;Knapptryckarna; ;1505;
KF;1492;Åmål;Kristdemokraterna;KD;68;5.042745632511461
KF;1492;Åmål;Kristna Värdepartiet; ;1551;
KF;1492;Åmål;Kärlek; ;1465;
KF;1492;Åmål;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1492;Åmål;Liberalerna (tidigare Folkpartiet);L;3;3.568331061826292
KF;1492;Åmål;Majspartiet; ;1471;
KF;1492;Åmål;Medborgarresan; ;1330;
KF;1492;Åmål;Medborgerlig Samling;MED;1296;0.0
KF;1492;Åmål;Miljöpartiet de gröna;MP;55;3.5435509850080535
KF;1492;Åmål;Min röst; ;1437;
KF;1492;Åmål;MITT SVERIGE; ;1591;
KF;1492;Åmål;Moderaterna;M;1;10.76694337752447
KF;1492;Åmål;Monisterna; ;1502;
KF;1492;Åmål;Mälaröarnas parti; ;1440;
KF;1492;Åmål;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1492;Åmål;NaturFilosoferna; ;1460;
KF;1492;Åmål;Nix to the Six; ;1519;
KF;1492;Åmål;NY REFORM; ;1528;
KF;1492;Åmål;Nya Frihetspartiet; ;1443;
KF;1492;Åmål;Nya Samhällspartiet; ;1438;
KF;1492;Åmål;OK; ;1478;
KF;1492;Åmål;Ond Kyckling Partiet; ;1472;
KF;1492;Åmål;Partiet Folkomröstning; ;1578;
KF;1492;Åmål;Partiet Nyans; ;1439;
KF;1492;Åmål;Partiet Vändpunkt;PV;1430;
KF;1492;Åmål;Pax; ;1491;
KF;1492;Åmål;Piratpartiet;PP;524;0.0
KF;1492;Åmål;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1492;Åmål;Rastliberalerna; ;1508;
KF;1492;Åmål;Rikspolitiska partiet; ;1496;
KF;1492;Åmål;SKP; ;1586;
KF;1492;Åmål;SKÅNEPARTIET;SKÅ;54;0.0
KF;1492;Åmål;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1492;Åmål;Sociallibertarianerna; ;1507;
KF;1492;Åmål;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1492;Åmål;Stram Kurs Sverige; ;1592;
KF;1492;Åmål;Svenska Rikslagen; ;1513;
KF;1492;Åmål;SVENSKARNA; ;1444;
KF;1492;Åmål;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1492;Åmål;Sverigedemokraterna;SD;110;14.595465245942263
KF;1492;Åmål;Sverigepartiet; ;1457;
KF;1492;Åmål;Swexitpartiet; ;1461;
KF;1492;Åmål;Säkerhetspartiet; ;1466;
KF;1492;Åmål;Tomas Lindström;TL;1401;2.031966299095527
KF;1492;Åmål;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1492;Åmål;Valsamverkanspartiet; ;1526;
KF;1492;Åmål;Vinningspartiet; ;1468;
KF;1492;Åmål;Vänsterpartiet;V;5;4.671044480237889
KF;1492;Åmål;Yggdrasil; ;1454;
KF;1492;Åmål;Ändrings partiet revolution; ;1404;
