VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2260;Ånge;Alternativ för Sverige;AfS;1325;
KF;2260;Ånge;ANDOPARTIET; ;1602;
KF;2260;Ånge;Arbetarepartiet-Socialdemokraterna;S;2;45.81218274111675
KF;2260;Ånge;Basinkomstpartiet; ;1525;
KF;2260;Ånge;Centerpartiet;C;4;6.440355329949239
KF;2260;Ånge;Common sense in Sweden;CSIS;1318;0.0
KF;2260;Ånge;Direktdemokraterna;DD;1150;0.0
KF;2260;Ånge;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2260;Ånge;Enad Politik; ;1589;
KF;2260;Ånge;Enade Sverige; ;1448;
KF;2260;Ånge;Enhet;ENH;189;0.0
KF;2260;Ånge;EUSEC; ;1534;
KF;2260;Ånge;Feministiskt initiativ;FI;532;0.0951776649746193
KF;2260;Ånge;FOLKOMROSTA2021.SE; ;1489;
KF;2260;Ånge;FramtidsTro;FT;1449;
KF;2260;Ånge;Fredspartiet; ;1484;
KF;2260;Ånge;Fria Wermland; ;1548;
KF;2260;Ånge;Frihetsrörelsen; ;1573;
KF;2260;Ånge;Fritt val; ;1479;
KF;2260;Ånge;Förenade Demokratiska Partiet; ;1577;
KF;2260;Ånge;Företaget Sverige; ;1510;
KF;2260;Ånge;GRÖNA DEMOKRATER; ;1601;
KF;2260;Ånge;Gula västarna; ;1436;
KF;2260;Ånge;Humanistisk demokrati (HD);HD;1480;
KF;2260;Ånge;John Mikkonen; ;1598;
KF;2260;Ånge;Kalle ankapartiet; ;1579;
KF;2260;Ånge;Kapitalism med vänligt ansikte; ;1495;
KF;2260;Ånge;Klassiskt liberala partiet;KLP;638;0.0
KF;2260;Ånge;Knapptryckarna; ;1505;
KF;2260;Ånge;Kristdemokraterna;KD;68;2.871192893401015
KF;2260;Ånge;Kristna Värdepartiet; ;1551;
KF;2260;Ånge;Kärlek; ;1465;
KF;2260;Ånge;Landsbygdspartiet Oberoende;LPo;1011;0.4441624365482234
KF;2260;Ånge;Liberalerna (tidigare Folkpartiet);L;3;0.5869289340101523
KF;2260;Ånge;Majspartiet; ;1471;
KF;2260;Ånge;Medborgarresan; ;1330;
KF;2260;Ånge;Medborgerlig Samling;MED;1296;0.0
KF;2260;Ånge;Miljöpartiet de gröna;MP;55;0.20621827411167515
KF;2260;Ånge;Min röst; ;1437;
KF;2260;Ånge;MITT SVERIGE; ;1591;
KF;2260;Ånge;Moderaterna;M;1;12.468274111675127
KF;2260;Ånge;Monisterna; ;1502;
KF;2260;Ånge;Mälaröarnas parti; ;1440;
KF;2260;Ånge;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2260;Ånge;NaturFilosoferna; ;1460;
KF;2260;Ånge;Nix to the Six; ;1519;
KF;2260;Ånge;NY REFORM; ;1528;
KF;2260;Ånge;Nya Frihetspartiet; ;1443;
KF;2260;Ånge;Nya Samhällspartiet; ;1438;
KF;2260;Ånge;OK; ;1478;
KF;2260;Ånge;Ond Kyckling Partiet; ;1472;
KF;2260;Ånge;Partiet Folkomröstning; ;1578;
KF;2260;Ånge;Partiet Nyans; ;1439;
KF;2260;Ånge;Partiet Vändpunkt;PV;1430;
KF;2260;Ånge;Pax; ;1491;
KF;2260;Ånge;Piratpartiet;PP;524;0.0
KF;2260;Ånge;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2260;Ånge;Rastliberalerna; ;1508;
KF;2260;Ånge;Rikspolitiska partiet; ;1496;
KF;2260;Ånge;SKP; ;1586;
KF;2260;Ånge;SKÅNEPARTIET;SKÅ;54;0.0
KF;2260;Ånge;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2260;Ånge;Sociallibertarianerna; ;1507;
KF;2260;Ånge;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2260;Ånge;Stram Kurs Sverige; ;1592;
KF;2260;Ånge;Svenska Rikslagen; ;1513;
KF;2260;Ånge;SVENSKARNA; ;1444;
KF;2260;Ånge;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2260;Ånge;Sverigedemokraterna;SD;110;12.912436548223349
KF;2260;Ånge;Sverigepartiet; ;1457;
KF;2260;Ånge;Swexitpartiet; ;1461;
KF;2260;Ånge;Säkerhetspartiet; ;1466;
KF;2260;Ånge;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2260;Ånge;Valsamverkanspartiet; ;1526;
KF;2260;Ånge;Vinningspartiet; ;1468;
KF;2260;Ånge;Vår Framtids politiska utskott;VFÅ;1166;13.800761421319796
KF;2260;Ånge;Vänsterpartiet;V;5;4.251269035532995
KF;2260;Ånge;Yggdrasil; ;1454;
KF;2260;Ånge;Ändrings partiet revolution; ;1404;
