VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2321;Åre;Alternativ för Sverige;AfS;1325;
KF;2321;Åre;ANDOPARTIET; ;1602;
KF;2321;Åre;Arbetarepartiet-Socialdemokraterna;S;2;21.483583299554116
KF;2321;Åre;Basinkomstpartiet; ;1525;
KF;2321;Åre;Centerpartiet;C;4;27.509795973517093
KF;2321;Åre;Common sense in Sweden;CSIS;1318;0.0
KF;2321;Åre;Direktdemokraterna;DD;1150;0.0
KF;2321;Åre;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2321;Åre;Enad Politik; ;1589;
KF;2321;Åre;Enade Sverige; ;1448;
KF;2321;Åre;Enhet;ENH;189;0.0
KF;2321;Åre;EUSEC; ;1534;
KF;2321;Åre;Feministiskt initiativ;FI;532;0.12160518848804217
KF;2321;Åre;FOLKOMROSTA2021.SE; ;1489;
KF;2321;Åre;FramtidsTro;FT;1449;
KF;2321;Åre;Fredspartiet; ;1484;
KF;2321;Åre;Fria Wermland; ;1548;
KF;2321;Åre;Frihetsrörelsen; ;1573;
KF;2321;Åre;Fritt val; ;1479;
KF;2321;Åre;Förenade Demokratiska Partiet; ;1577;
KF;2321;Åre;Företaget Sverige; ;1510;
KF;2321;Åre;GRÖNA DEMOKRATER; ;1601;
KF;2321;Åre;Gula västarna; ;1436;
KF;2321;Åre;Humanistisk demokrati (HD);HD;1480;
KF;2321;Åre;John Mikkonen; ;1598;
KF;2321;Åre;Kalle ankapartiet; ;1579;
KF;2321;Åre;Kapitalism med vänligt ansikte; ;1495;
KF;2321;Åre;Klassiskt liberala partiet;KLP;638;0.0
KF;2321;Åre;Knapptryckarna; ;1505;
KF;2321;Åre;Kristdemokraterna;KD;68;2.378057019321713
KF;2321;Åre;Kristna Värdepartiet; ;1551;
KF;2321;Åre;Kärlek; ;1465;
KF;2321;Åre;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2321;Åre;Liberalerna (tidigare Folkpartiet);L;3;0.9728415079043373
KF;2321;Åre;Majspartiet; ;1471;
KF;2321;Åre;Medborgarresan; ;1330;
KF;2321;Åre;Medborgerlig Samling;MED;1296;0.0
KF;2321;Åre;Miljöpartiet de gröna;MP;55;8.742061883529253
KF;2321;Åre;Min röst; ;1437;
KF;2321;Åre;MITT SVERIGE; ;1591;
KF;2321;Åre;Moderaterna;M;1;11.498446155924876
KF;2321;Åre;Monisterna; ;1502;
KF;2321;Åre;Mälaröarnas parti; ;1440;
KF;2321;Åre;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2321;Åre;NaturFilosoferna; ;1460;
KF;2321;Åre;Nix to the Six; ;1519;
KF;2321;Åre;NY REFORM; ;1528;
KF;2321;Åre;Nya Frihetspartiet; ;1443;
KF;2321;Åre;Nya Samhällspartiet; ;1438;
KF;2321;Åre;OK; ;1478;
KF;2321;Åre;Ond Kyckling Partiet; ;1472;
KF;2321;Åre;Partiet Folkomröstning; ;1578;
KF;2321;Åre;Partiet Nyans; ;1439;
KF;2321;Åre;Partiet Vändpunkt;PV;1430;
KF;2321;Åre;Pax; ;1491;
KF;2321;Åre;Piratpartiet;PP;524;0.0
KF;2321;Åre;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2321;Åre;Rastliberalerna; ;1508;
KF;2321;Åre;Rikspolitiska partiet; ;1496;
KF;2321;Åre;SKP; ;1586;
KF;2321;Åre;SKÅNEPARTIET;SKÅ;54;0.0
KF;2321;Åre;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2321;Åre;Sociallibertarianerna; ;1507;
KF;2321;Åre;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2321;Åre;Stram Kurs Sverige; ;1592;
KF;2321;Åre;Svenska Rikslagen; ;1513;
KF;2321;Åre;SVENSKARNA; ;1444;
KF;2321;Åre;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2321;Åre;Sverigedemokraterna;SD;110;5.634373733279287
KF;2321;Åre;Sverigepartiet; ;1457;
KF;2321;Åre;Swexitpartiet; ;1461;
KF;2321;Åre;Säkerhetspartiet; ;1466;
KF;2321;Åre;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2321;Åre;Valsamverkanspartiet; ;1526;
KF;2321;Åre;Vinningspartiet; ;1468;
KF;2321;Åre;Vänsterpartiet;V;5;3.040129712201054
KF;2321;Åre;Västjämtlands Väl;VV;982;18.55154708823132
KF;2321;Åre;Yggdrasil; ;1454;
KF;2321;Åre;Ändrings partiet revolution; ;1404;
