VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2463;Åsele;Alternativ för Sverige;AfS;1325;
KF;2463;Åsele;ANDOPARTIET; ;1602;
KF;2463;Åsele;Arbetarepartiet-Socialdemokraterna;S;2;37.63085399449036
KF;2463;Åsele;Basinkomstpartiet; ;1525;
KF;2463;Åsele;Centerpartiet;C;4;28.484848484848484
KF;2463;Åsele;Common sense in Sweden;CSIS;1318;0.0
KF;2463;Åsele;Direktdemokraterna;DD;1150;0.0
KF;2463;Åsele;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2463;Åsele;Enad Politik; ;1589;
KF;2463;Åsele;Enade Sverige; ;1448;
KF;2463;Åsele;Enhet;ENH;189;0.0
KF;2463;Åsele;EUSEC; ;1534;
KF;2463;Åsele;Feministiskt initiativ;FI;532;0.1652892561983471
KF;2463;Åsele;FOLKOMROSTA2021.SE; ;1489;
KF;2463;Åsele;FramtidsTro;FT;1449;
KF;2463;Åsele;Fredspartiet; ;1484;
KF;2463;Åsele;Fria Wermland; ;1548;
KF;2463;Åsele;Frihetsrörelsen; ;1573;
KF;2463;Åsele;Fritt val; ;1479;
KF;2463;Åsele;Förenade Demokratiska Partiet; ;1577;
KF;2463;Åsele;Företaget Sverige; ;1510;
KF;2463;Åsele;GRÖNA DEMOKRATER; ;1601;
KF;2463;Åsele;Gula västarna; ;1436;
KF;2463;Åsele;Humanistisk demokrati (HD);HD;1480;
KF;2463;Åsele;John Mikkonen; ;1598;
KF;2463;Åsele;Kalle ankapartiet; ;1579;
KF;2463;Åsele;Kapitalism med vänligt ansikte; ;1495;
KF;2463;Åsele;Klassiskt liberala partiet;KLP;638;0.0
KF;2463;Åsele;Knapptryckarna; ;1505;
KF;2463;Åsele;Kristdemokraterna;KD;68;1.9283746556473829
KF;2463;Åsele;Kristna Värdepartiet; ;1551;
KF;2463;Åsele;Kärlek; ;1465;
KF;2463;Åsele;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2463;Åsele;Liberalerna (tidigare Folkpartiet);L;3;3.3057851239669422
KF;2463;Åsele;Majspartiet; ;1471;
KF;2463;Åsele;Medborgarresan; ;1330;
KF;2463;Åsele;Medborgerlig Samling;MED;1296;0.0
KF;2463;Åsele;Miljöpartiet de gröna;MP;55;0.27548209366391185
KF;2463;Åsele;Min röst; ;1437;
KF;2463;Åsele;MITT SVERIGE; ;1591;
KF;2463;Åsele;Moderaterna;M;1;1.4325068870523416
KF;2463;Åsele;Monisterna; ;1502;
KF;2463;Åsele;Mälaröarnas parti; ;1440;
KF;2463;Åsele;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2463;Åsele;NaturFilosoferna; ;1460;
KF;2463;Åsele;Nix to the Six; ;1519;
KF;2463;Åsele;NY REFORM; ;1528;
KF;2463;Åsele;Nya Frihetspartiet; ;1443;
KF;2463;Åsele;Nya Samhällspartiet; ;1438;
KF;2463;Åsele;OK; ;1478;
KF;2463;Åsele;Ond Kyckling Partiet; ;1472;
KF;2463;Åsele;Partiet Folkomröstning; ;1578;
KF;2463;Åsele;Partiet Nyans; ;1439;
KF;2463;Åsele;Partiet Vändpunkt;PV;1430;
KF;2463;Åsele;Pax; ;1491;
KF;2463;Åsele;Piratpartiet;PP;524;0.0
KF;2463;Åsele;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2463;Åsele;Rastliberalerna; ;1508;
KF;2463;Åsele;Rikspolitiska partiet; ;1496;
KF;2463;Åsele;SKP; ;1586;
KF;2463;Åsele;SKÅNEPARTIET;SKÅ;54;0.0
KF;2463;Åsele;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2463;Åsele;Sociallibertarianerna; ;1507;
KF;2463;Åsele;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2463;Åsele;Stram Kurs Sverige; ;1592;
KF;2463;Åsele;Svenska Rikslagen; ;1513;
KF;2463;Åsele;SVENSKARNA; ;1444;
KF;2463;Åsele;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2463;Åsele;Sverigedemokraterna;SD;110;2.4242424242424243
KF;2463;Åsele;Sverigepartiet; ;1457;
KF;2463;Åsele;Swexitpartiet; ;1461;
KF;2463;Åsele;Säkerhetspartiet; ;1466;
KF;2463;Åsele;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2463;Åsele;Valsamverkanspartiet; ;1526;
KF;2463;Åsele;Vinningspartiet; ;1468;
KF;2463;Åsele;Vänsterpartiet;V;5;6.831955922865014
KF;2463;Åsele;Yggdrasil; ;1454;
KF;2463;Åsele;Åselepartiet;ÅSP;185;16.859504132231404
KF;2463;Åsele;Ändrings partiet revolution; ;1404;
