VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1277;Åstorp;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1277;Åstorp;ANDOPARTIET; ;1602;;
KF;1277;Åstorp;Arbetarepartiet-Socialdemokraterna;S;2;31.9847156664419;https://www.socialdemokraterna.se/
KF;1277;Åstorp;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1277;Åstorp;Borgerligt Liberalt Åstorp; ;1600;;
KF;1277;Åstorp;Centerpartiet;C;4;6.0463025398966055;https://www.centerpartiet.se/
KF;1277;Åstorp;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1277;Åstorp;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1277;Åstorp;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1277;Åstorp;Enad Politik; ;1589;;
KF;1277;Åstorp;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1277;Åstorp;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1277;Åstorp;EUSEC; ;1534;;
KF;1277;Åstorp;Feministiskt initiativ;FI;532;0.11238480557428637;https://feministisktinitiativ.se/
KF;1277;Åstorp;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1277;Åstorp;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1277;Åstorp;Fredspartiet; ;1484;;
KF;1277;Åstorp;Fria Wermland; ;1548;;https://friawermland.se/
KF;1277;Åstorp;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1277;Åstorp;Fritt val; ;1479;;
KF;1277;Åstorp;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1277;Åstorp;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1277;Åstorp;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1277;Åstorp;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1277;Åstorp;Humanistisk demokrati (HD);HD;1480;;
KF;1277;Åstorp;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1277;Åstorp;Kalle ankapartiet; ;1579;;
KF;1277;Åstorp;Kapitalism med vänligt ansikte; ;1495;;
KF;1277;Åstorp;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
