VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;561;Åtvidaberg;Alternativ för Sverige;AfS;1325;
KF;561;Åtvidaberg;ANDOPARTIET; ;1602;
KF;561;Åtvidaberg;Arbetarepartiet-Socialdemokraterna;S;2;32.441302701338046
KF;561;Åtvidaberg;Basinkomstpartiet; ;1525;
KF;561;Åtvidaberg;Centerpartiet;C;4;11.827821257258268
KF;561;Åtvidaberg;Common sense in Sweden;CSIS;1318;0.0
KF;561;Åtvidaberg;Direktdemokraterna;DD;1150;0.0
KF;561;Åtvidaberg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;561;Åtvidaberg;Enad Politik; ;1589;
KF;561;Åtvidaberg;Enade Sverige; ;1448;
KF;561;Åtvidaberg;Enhet;ENH;189;0.0
KF;561;Åtvidaberg;EUSEC; ;1534;
KF;561;Åtvidaberg;Feministiskt initiativ;FI;532;0.2650845746023731
KF;561;Åtvidaberg;FOLKOMROSTA2021.SE; ;1489;
KF;561;Åtvidaberg;FramtidsTro;FT;1449;
KF;561;Åtvidaberg;Fredspartiet; ;1484;
KF;561;Åtvidaberg;Fria Wermland; ;1548;
KF;561;Åtvidaberg;Frihetsrörelsen; ;1573;
KF;561;Åtvidaberg;Fritt val; ;1479;
KF;561;Åtvidaberg;Förenade Demokratiska Partiet; ;1577;
KF;561;Åtvidaberg;Företaget Sverige; ;1510;
KF;561;Åtvidaberg;GRÖNA DEMOKRATER; ;1601;
KF;561;Åtvidaberg;Gula västarna; ;1436;
KF;561;Åtvidaberg;Humanistisk demokrati (HD);HD;1480;
KF;561;Åtvidaberg;John Mikkonen; ;1598;
KF;561;Åtvidaberg;Kalle ankapartiet; ;1579;
KF;561;Åtvidaberg;Kapitalism med vänligt ansikte; ;1495;
KF;561;Åtvidaberg;Klassiskt liberala partiet;KLP;638;0.0
KF;561;Åtvidaberg;Knapptryckarna; ;1505;
KF;561;Åtvidaberg;Kristdemokraterna;KD;68;2.8528149457207777
KF;561;Åtvidaberg;Kristna Värdepartiet; ;1551;
KF;561;Åtvidaberg;Kärlek; ;1465;
KF;561;Åtvidaberg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;561;Åtvidaberg;Liberalerna (tidigare Folkpartiet);L;3;5.213329967180004
KF;561;Åtvidaberg;Majspartiet; ;1471;
KF;561;Åtvidaberg;Medborgarresan; ;1330;
KF;561;Åtvidaberg;Medborgerlig Samling;MED;1296;0.0
KF;561;Åtvidaberg;Miljöpartiet de gröna;MP;55;2.120676596818985
KF;561;Åtvidaberg;Min röst; ;1437;
KF;561;Åtvidaberg;MITT SVERIGE; ;1591;
KF;561;Åtvidaberg;Moderaterna;M;1;21.09315829336026
KF;561;Åtvidaberg;Monisterna; ;1502;
KF;561;Åtvidaberg;Mälaröarnas parti; ;1440;
KF;561;Åtvidaberg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;561;Åtvidaberg;NaturFilosoferna; ;1460;
KF;561;Åtvidaberg;Nix to the Six; ;1519;
KF;561;Åtvidaberg;NY REFORM; ;1528;
KF;561;Åtvidaberg;Nya Frihetspartiet; ;1443;
KF;561;Åtvidaberg;Nya Samhällspartiet; ;1438;
KF;561;Åtvidaberg;OK; ;1478;
KF;561;Åtvidaberg;Ond Kyckling Partiet; ;1472;
KF;561;Åtvidaberg;Partiet Folkomröstning; ;1578;
KF;561;Åtvidaberg;Partiet Nyans; ;1439;
KF;561;Åtvidaberg;Partiet Vändpunkt;PV;1430;
KF;561;Åtvidaberg;Pax; ;1491;
KF;561;Åtvidaberg;Piratpartiet;PP;524;0.0
KF;561;Åtvidaberg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;561;Åtvidaberg;Rastliberalerna; ;1508;
KF;561;Åtvidaberg;Rikspolitiska partiet; ;1496;
KF;561;Åtvidaberg;SKP; ;1586;
KF;561;Åtvidaberg;SKÅNEPARTIET;SKÅ;54;0.0
KF;561;Åtvidaberg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;561;Åtvidaberg;Sociallibertarianerna; ;1507;
KF;561;Åtvidaberg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;561;Åtvidaberg;Stram Kurs Sverige; ;1592;
KF;561;Åtvidaberg;Svenska Rikslagen; ;1513;
KF;561;Åtvidaberg;SVENSKARNA; ;1444;
KF;561;Åtvidaberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;561;Åtvidaberg;Sverigedemokraterna;SD;110;18.846250946730624
KF;561;Åtvidaberg;Sverigepartiet; ;1457;
KF;561;Åtvidaberg;Swexitpartiet; ;1461;
KF;561;Åtvidaberg;Säkerhetspartiet; ;1466;
KF;561;Åtvidaberg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;561;Åtvidaberg;Valsamverkanspartiet; ;1526;
KF;561;Åtvidaberg;Vinningspartiet; ;1468;
KF;561;Åtvidaberg;Vänsterpartiet;V;5;5.099722292350417
KF;561;Åtvidaberg;Yggdrasil; ;1454;
KF;561;Åtvidaberg;Ändrings partiet revolution; ;1404;
