VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1407;Öckerö;Alternativ för Sverige;AfS;1325;
KF;1407;Öckerö;ANDOPARTIET; ;1602;
KF;1407;Öckerö;Arbetarepartiet-Socialdemokraterna;S;2;18.403158587409518
KF;1407;Öckerö;Basinkomstpartiet; ;1525;
KF;1407;Öckerö;BOHUSLÄNPARTIET; ;1506;
KF;1407;Öckerö;Brobyggarpartiet; ;1497;
KF;1407;Öckerö;Centerpartiet;C;4;1.9631498135556043
KF;1407;Öckerö;Common sense in Sweden;CSIS;1318;0.0
KF;1407;Öckerö;Direktdemokraterna;DD;1150;0.0
KF;1407;Öckerö;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1407;Öckerö;Enad Politik; ;1589;
KF;1407;Öckerö;Enade Sverige; ;1448;
KF;1407;Öckerö;Enhet;ENH;189;0.0
KF;1407;Öckerö;EUSEC; ;1534;
KF;1407;Öckerö;Feministiskt initiativ;FI;532;0.17547707830664622
KF;1407;Öckerö;FOLKOMROSTA2021.SE; ;1489;
KF;1407;Öckerö;FramtidsTro;FT;1449;
KF;1407;Öckerö;Fredspartiet; ;1484;
KF;1407;Öckerö;Fria Wermland; ;1548;
KF;1407;Öckerö;Frihetsrörelsen; ;1573;
KF;1407;Öckerö;Fritt val; ;1479;
KF;1407;Öckerö;Förenade Demokratiska Partiet; ;1577;
KF;1407;Öckerö;Företaget Sverige; ;1510;
KF;1407;Öckerö;GRÖNA DEMOKRATER; ;1601;
KF;1407;Öckerö;Gula västarna; ;1436;
KF;1407;Öckerö;Humanistisk demokrati (HD);HD;1480;
KF;1407;Öckerö;John Mikkonen; ;1598;
KF;1407;Öckerö;Kalle ankapartiet; ;1579;
KF;1407;Öckerö;Kapitalism med vänligt ansikte; ;1495;
KF;1407;Öckerö;Klassiskt liberala partiet;KLP;638;0.0
KF;1407;Öckerö;Knapptryckarna; ;1505;
KF;1407;Öckerö;Kristdemokraterna;KD;68;27.593770563720117
KF;1407;Öckerö;Kristna Värdepartiet; ;1551;
KF;1407;Öckerö;Kärlek; ;1465;
KF;1407;Öckerö;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1407;Öckerö;Liberalerna (tidigare Folkpartiet);L;3;8.75191928054398
KF;1407;Öckerö;Majspartiet; ;1471;
KF;1407;Öckerö;Medborgarresan; ;1330;
KF;1407;Öckerö;Medborgerlig Samling;MED;1296;0.0
KF;1407;Öckerö;Miljöpartiet de gröna;MP;55;7.106821671419171
KF;1407;Öckerö;Min röst; ;1437;
KF;1407;Öckerö;MITT SVERIGE; ;1591;
KF;1407;Öckerö;Moderaterna;M;1;20.78306646194341
KF;1407;Öckerö;Monisterna; ;1502;
KF;1407;Öckerö;Mälaröarnas parti; ;1440;
KF;1407;Öckerö;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1407;Öckerö;NaturFilosoferna; ;1460;
KF;1407;Öckerö;Nix to the Six; ;1519;
KF;1407;Öckerö;NY REFORM; ;1528;
KF;1407;Öckerö;Nya Frihetspartiet; ;1443;
KF;1407;Öckerö;Nya Samhällspartiet; ;1438;
KF;1407;Öckerö;OK; ;1478;
KF;1407;Öckerö;Ond Kyckling Partiet; ;1472;
KF;1407;Öckerö;Partiet Folkomröstning; ;1578;
KF;1407;Öckerö;Partiet Nyans; ;1439;
KF;1407;Öckerö;Partiet Vändpunkt;PV;1430;
KF;1407;Öckerö;Pax; ;1491;
KF;1407;Öckerö;Piratpartiet;PP;524;0.0
KF;1407;Öckerö;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1407;Öckerö;Rastliberalerna; ;1508;
KF;1407;Öckerö;Rikspolitiska partiet; ;1496;
KF;1407;Öckerö;SKP; ;1586;
KF;1407;Öckerö;SKÅNEPARTIET;SKÅ;54;0.0
KF;1407;Öckerö;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1407;Öckerö;Sociallibertarianerna; ;1507;
KF;1407;Öckerö;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1407;Öckerö;Stram Kurs Sverige; ;1592;
KF;1407;Öckerö;Svenska Rikslagen; ;1513;
KF;1407;Öckerö;SVENSKARNA; ;1444;
KF;1407;Öckerö;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1407;Öckerö;Sverigedemokraterna;SD;110;10.60539592015793
KF;1407;Öckerö;Sverigepartiet; ;1457;
KF;1407;Öckerö;Swexitpartiet; ;1461;
KF;1407;Öckerö;Säkerhetspartiet; ;1466;
KF;1407;Öckerö;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1407;Öckerö;Valsamverkanspartiet; ;1526;
KF;1407;Öckerö;Vinningspartiet; ;1468;
KF;1407;Öckerö;Vänsterpartiet;V;5;4.079842070629524
KF;1407;Öckerö;Yggdrasil; ;1454;
KF;1407;Öckerö;Ändrings partiet revolution; ;1404;
