VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;509;Ödeshög;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;509;Ödeshög;ANDOPARTIET; ;1602;;
KF;509;Ödeshög;Arbetarepartiet-Socialdemokraterna;S;2;20.69062324536777;https://www.socialdemokraterna.se/
KF;509;Ödeshög;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;509;Ödeshög;Centerpartiet;C;4;10.499719258843346;https://www.centerpartiet.se/
KF;509;Ödeshög;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;509;Ödeshög;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;509;Ödeshög;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;509;Ödeshög;Enad Politik; ;1589;;
KF;509;Ödeshög;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;509;Ödeshög;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;509;Ödeshög;EUSEC; ;1534;;
KF;509;Ödeshög;Feministiskt initiativ;FI;532;2.2178551375631668;https://feministisktinitiativ.se/
KF;509;Ödeshög;Folk & Natur; ;1049;;http://folkochnatur.se/
KF;509;Ödeshög;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;509;Ödeshög;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;509;Ödeshög;Fredspartiet; ;1484;;
KF;509;Ödeshög;Fria Wermland; ;1548;;https://friawermland.se/
KF;509;Ödeshög;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;509;Ödeshög;Fritt val; ;1479;;
KF;509;Ödeshög;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;509;Ödeshög;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;509;Ödeshög;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;509;Ödeshög;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;509;Ödeshög;Humanistisk demokrati (HD);HD;1480;;
KF;509;Ödeshög;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;509;Ödeshög;Kalle ankapartiet; ;1579;;
KF;509;Ödeshög;Kapitalism med vänligt ansikte; ;1495;;
KF;509;Ödeshög;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;509;Ödeshög;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;509;Ödeshög;Kristdemokraterna;KD;68;33.54856822010107;https://kristdemokraterna.se/
KF;509;Ödeshög;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;509;Ödeshög;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;509;Ödeshög;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;509;Ödeshög;Liberalerna (tidigare Folkpartiet);L;3;1.1791128579449746;https://www.liberalerna.se/
KF;509;Ödeshög;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;509;Ödeshög;Medborgarresan; ;1330;;https://citizenwell.se/
KF;509;Ödeshög;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;509;Ödeshög;Miljöpartiet de gröna;MP;55;2.8354856822010106;https://www.mp.se/
KF;509;Ödeshög;Min röst; ;1437;;
KF;509;Ödeshög;MITT SVERIGE; ;1591;;
KF;509;Ödeshög;Moderaterna;M;1;12.408759124087592;https://moderaterna.se/
KF;509;Ödeshög;Monisterna; ;1502;;
KF;509;Ödeshög;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;509;Ödeshög;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;509;Ödeshög;NaturFilosoferna; ;1460;;
KF;509;Ödeshög;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;509;Ödeshög;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;509;Ödeshög;Nya Frihetspartiet; ;1443;;
KF;509;Ödeshög;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;509;Ödeshög;OK; ;1478;;
KF;509;Ödeshög;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;509;Ödeshög;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;509;Ödeshög;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;509;Ödeshög;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;509;Ödeshög;Pax; ;1491;;https://www.paxpartiet.se/
KF;509;Ödeshög;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;509;Ödeshög;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;509;Ödeshög;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;509;Ödeshög;Rikspolitiska partiet; ;1496;;
KF;509;Ödeshög;SKP; ;1586;;https://skp.se
KF;509;Ödeshög;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;509;Ödeshög;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;509;Ödeshög;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;509;Ödeshög;Stora Norrlands oberoende Frihetsparti; ;1559;;
