VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1880;Örebro;Alternativ för Sverige;AfS;1325;
KF;1880;Örebro;ANDOPARTIET; ;1602;
KF;1880;Örebro;Arbetarepartiet-Socialdemokraterna;S;2;32.00400214256117
KF;1880;Örebro;Basinkomstpartiet; ;1525;
KF;1880;Örebro;Centerpartiet;C;4;8.430776072038567
KF;1880;Örebro;Common sense in Sweden;CSIS;1318;0.0
KF;1880;Örebro;Direktdemokraterna;DD;1150;0.0
KF;1880;Örebro;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1880;Örebro;Enad Politik; ;1589;
KF;1880;Örebro;Enade Sverige; ;1448;
KF;1880;Örebro;Enhet;ENH;189;0.0
KF;1880;Örebro;EUSEC; ;1534;
KF;1880;Örebro;Feministiskt initiativ;FI;532;0.37393756253347754
KF;1880;Örebro;FOLKOMROSTA2021.SE; ;1489;
KF;1880;Örebro;FramtidsTro;FT;1449;
KF;1880;Örebro;Fredspartiet; ;1484;
KF;1880;Örebro;Fria Wermland; ;1548;
KF;1880;Örebro;Frihetsrörelsen; ;1573;
KF;1880;Örebro;Fritt val; ;1479;
KF;1880;Örebro;Förenade Demokratiska Partiet; ;1577;
KF;1880;Örebro;Företaget Sverige; ;1510;
KF;1880;Örebro;GRÖNA DEMOKRATER; ;1601;
KF;1880;Örebro;Gula västarna; ;1436;
KF;1880;Örebro;Humanistisk demokrati (HD);HD;1480;
KF;1880;Örebro;John Mikkonen; ;1598;
KF;1880;Örebro;Kalle ankapartiet; ;1579;
KF;1880;Örebro;Kapitalism med vänligt ansikte; ;1495;
KF;1880;Örebro;Klassiskt liberala partiet;KLP;638;0.0
KF;1880;Örebro;Knapptryckarna; ;1505;
KF;1880;Örebro;Kommunistiska Partiet;K;471;0.19909648599755425
KF;1880;Örebro;Kristdemokraterna;KD;68;7.726358555590367
KF;1880;Örebro;Kristna Värdepartiet; ;1551;
KF;1880;Örebro;Kärlek; ;1465;
KF;1880;Örebro;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1880;Örebro;Liberalerna (tidigare Folkpartiet);L;3;7.18061184270367
KF;1880;Örebro;Majspartiet; ;1471;
KF;1880;Örebro;Medborgarresan; ;1330;
KF;1880;Örebro;Medborgerlig Samling;MED;1296;0.0
KF;1880;Örebro;Miljöpartiet de gröna;MP;55;5.090604060759801
KF;1880;Örebro;Min röst; ;1437;
KF;1880;Örebro;MITT SVERIGE; ;1591;
KF;1880;Örebro;Moderaterna;M;1;17.616501763570398
KF;1880;Örebro;Monisterna; ;1502;
KF;1880;Örebro;Mälaröarnas parti; ;1440;
KF;1880;Örebro;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1880;Örebro;NaturFilosoferna; ;1460;
KF;1880;Örebro;Nix to the Six; ;1519;
KF;1880;Örebro;NY REFORM; ;1528;
KF;1880;Örebro;Nya Frihetspartiet; ;1443;
KF;1880;Örebro;Nya Samhällspartiet; ;1438;
KF;1880;Örebro;OK; ;1478;
KF;1880;Örebro;Ond Kyckling Partiet; ;1472;
KF;1880;Örebro;Partiet Folkomröstning; ;1578;
KF;1880;Örebro;Partiet Nyans; ;1439;
KF;1880;Örebro;Partiet Vändpunkt;PV;1430;
KF;1880;Örebro;Pax; ;1491;
KF;1880;Örebro;Piratpartiet;PP;524;0.18899006538854135
KF;1880;Örebro;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1880;Örebro;Rastliberalerna; ;1508;
KF;1880;Örebro;Realistpartiet;REAL;1151;0.0
KF;1880;Örebro;Rikspolitiska partiet; ;1496;
KF;1880;Örebro;SKP; ;1586;
KF;1880;Örebro;SKÅNEPARTIET;SKÅ;54;0.0
KF;1880;Örebro;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1880;Örebro;Sociallibertarianerna; ;1507;
KF;1880;Örebro;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1880;Örebro;Stram Kurs Sverige; ;1592;
KF;1880;Örebro;Svenska Rikslagen; ;1513;
KF;1880;Örebro;SVENSKARNA; ;1444;
KF;1880;Örebro;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1880;Örebro;Sverigedemokraterna;SD;110;9.916419901563463
KF;1880;Örebro;Sverigepartiet; ;1457;
KF;1880;Örebro;Swexitpartiet; ;1461;
KF;1880;Örebro;Säkerhetspartiet; ;1466;
KF;1880;Örebro;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1880;Örebro;Valsamverkanspartiet; ;1526;
KF;1880;Örebro;Vinningspartiet; ;1468;
KF;1880;Örebro;Vänsterpartiet;V;5;8.126572811707277
KF;1880;Örebro;Yggdrasil; ;1454;
KF;1880;Örebro;Ändrings partiet revolution; ;1404;
KF;1880;Örebro;Örebropartiet;ÖrP;1152;3.0137346256076487
