VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1257;Örkelljunga;Alternativ för Sverige;AfS;1325;
KF;1257;Örkelljunga;ANDOPARTIET; ;1602;
KF;1257;Örkelljunga;Arbetarepartiet-Socialdemokraterna;S;2;19.98095540390414
KF;1257;Örkelljunga;Basinkomstpartiet; ;1525;
KF;1257;Örkelljunga;Centerpartiet;C;4;8.776384700841136
KF;1257;Örkelljunga;Common sense in Sweden;CSIS;1318;0.0
KF;1257;Örkelljunga;Direktdemokraterna;DD;1150;0.0
KF;1257;Örkelljunga;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1257;Örkelljunga;Enad Politik; ;1589;
KF;1257;Örkelljunga;Enade Sverige; ;1448;
KF;1257;Örkelljunga;Enhet;ENH;189;0.0
KF;1257;Örkelljunga;EUSEC; ;1534;
KF;1257;Örkelljunga;Feministiskt initiativ;FI;532;0.23805745119822252
KF;1257;Örkelljunga;FOLKOMROSTA2021.SE; ;1489;
KF;1257;Örkelljunga;FramtidsTro;FT;1449;
KF;1257;Örkelljunga;Fredspartiet; ;1484;
KF;1257;Örkelljunga;Fria Wermland; ;1548;
KF;1257;Örkelljunga;Frihetsrörelsen; ;1573;
KF;1257;Örkelljunga;Fritt val; ;1479;
KF;1257;Örkelljunga;Förenade Demokratiska Partiet; ;1577;
KF;1257;Örkelljunga;Företaget Sverige; ;1510;
KF;1257;Örkelljunga;GRÖNA DEMOKRATER; ;1601;
KF;1257;Örkelljunga;Gula västarna; ;1436;
KF;1257;Örkelljunga;Humanistisk demokrati (HD);HD;1480;
KF;1257;Örkelljunga;John Mikkonen; ;1598;
KF;1257;Örkelljunga;Kalle ankapartiet; ;1579;
KF;1257;Örkelljunga;Kapitalism med vänligt ansikte; ;1495;
KF;1257;Örkelljunga;Klassiskt liberala partiet;KLP;638;0.0
KF;1257;Örkelljunga;Knapptryckarna; ;1505;
KF;1257;Örkelljunga;Kristdemokraterna;KD;68;10.966513251864782
KF;1257;Örkelljunga;Kristna Värdepartiet; ;1551;
KF;1257;Örkelljunga;Kärlek; ;1465;
KF;1257;Örkelljunga;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1257;Örkelljunga;Liberalerna (tidigare Folkpartiet);L;3;1.4124742104427868
KF;1257;Örkelljunga;Majspartiet; ;1471;
KF;1257;Örkelljunga;Medborgarresan; ;1330;
KF;1257;Örkelljunga;Medborgerlig Samling;MED;1296;0.0
KF;1257;Örkelljunga;Miljöpartiet de gröna;MP;55;2.2377400412632915
KF;1257;Örkelljunga;Min röst; ;1437;
KF;1257;Örkelljunga;MITT SVERIGE; ;1591;
KF;1257;Örkelljunga;Moderaterna;M;1;22.377400412632916
KF;1257;Örkelljunga;Monisterna; ;1502;
KF;1257;Örkelljunga;Mälaröarnas parti; ;1440;
KF;1257;Örkelljunga;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1257;Örkelljunga;NaturFilosoferna; ;1460;
KF;1257;Örkelljunga;Nix to the Six; ;1519;
KF;1257;Örkelljunga;Nordiska motståndsrörelsen;NMR;1273;0.0
KF;1257;Örkelljunga;NY REFORM; ;1528;
KF;1257;Örkelljunga;Nya Frihetspartiet; ;1443;
KF;1257;Örkelljunga;Nya Samhällspartiet; ;1438;
KF;1257;Örkelljunga;OK; ;1478;
KF;1257;Örkelljunga;Ond Kyckling Partiet; ;1472;
KF;1257;Örkelljunga;Partiet Folkomröstning; ;1578;
KF;1257;Örkelljunga;Partiet Nyans; ;1439;
KF;1257;Örkelljunga;Partiet Vändpunkt;PV;1430;
KF;1257;Örkelljunga;Pax; ;1491;
KF;1257;Örkelljunga;Piratpartiet;PP;524;0.0
KF;1257;Örkelljunga;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1257;Örkelljunga;Rastliberalerna; ;1508;
KF;1257;Örkelljunga;Rikspolitiska partiet; ;1496;
KF;1257;Örkelljunga;SKP; ;1586;
KF;1257;Örkelljunga;SKÅNEPARTIET;SKÅ;54;0.0
KF;1257;Örkelljunga;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1257;Örkelljunga;Sociallibertarianerna; ;1507;
KF;1257;Örkelljunga;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1257;Örkelljunga;Stram Kurs Sverige; ;1592;
KF;1257;Örkelljunga;Svenska Rikslagen; ;1513;
KF;1257;Örkelljunga;SVENSKARNA; ;1444;
KF;1257;Örkelljunga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1257;Örkelljunga;Sverigedemokraterna;SD;110;31.471195048405015
KF;1257;Örkelljunga;Sverigepartiet; ;1457;
KF;1257;Örkelljunga;Swexitpartiet; ;1461;
KF;1257;Örkelljunga;Säkerhetspartiet; ;1466;
KF;1257;Örkelljunga;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1257;Örkelljunga;Valsamverkanspartiet; ;1526;
KF;1257;Örkelljunga;Vinningspartiet; ;1468;
KF;1257;Örkelljunga;Vänsterpartiet;V;5;1.0474527852721789
KF;1257;Örkelljunga;Yggdrasil; ;1454;
KF;1257;Örkelljunga;Ändrings partiet revolution; ;1404;
