VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2284;Örnsköldsvik;Alternativ för Sverige;AfS;1325;
KF;2284;Örnsköldsvik;ANDOPARTIET; ;1602;
KF;2284;Örnsköldsvik;Arbetarepartiet-Socialdemokraterna;S;2;40.46138308616382
KF;2284;Örnsköldsvik;Basinkomstpartiet; ;1525;
KF;2284;Örnsköldsvik;Centerpartiet;C;4;19.295168234731303
KF;2284;Örnsköldsvik;Common sense in Sweden;CSIS;1318;0.0
KF;2284;Örnsköldsvik;Direktdemokraterna;DD;1150;0.0
KF;2284;Örnsköldsvik;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2284;Örnsköldsvik;Enad Politik; ;1589;
KF;2284;Örnsköldsvik;Enade Sverige; ;1448;
KF;2284;Örnsköldsvik;Enhet;ENH;189;0.0
KF;2284;Örnsköldsvik;EUSEC; ;1534;
KF;2284;Örnsköldsvik;Feministiskt initiativ;FI;532;0.13022909690107903
KF;2284;Örnsköldsvik;FOLKOMROSTA2021.SE; ;1489;
KF;2284;Örnsköldsvik;FramtidsTro;FT;1449;
KF;2284;Örnsköldsvik;Fredspartiet; ;1484;
KF;2284;Örnsköldsvik;Fria Wermland; ;1548;
KF;2284;Örnsköldsvik;Frihetsrörelsen; ;1573;
KF;2284;Örnsköldsvik;Fritt val; ;1479;
KF;2284;Örnsköldsvik;Förenade Demokratiska Partiet; ;1577;
KF;2284;Örnsköldsvik;Företaget Sverige; ;1510;
KF;2284;Örnsköldsvik;GRÖNA DEMOKRATER; ;1601;
KF;2284;Örnsköldsvik;Gula västarna; ;1436;
KF;2284;Örnsköldsvik;Humanistisk demokrati (HD);HD;1480;
KF;2284;Örnsköldsvik;John Mikkonen; ;1598;
KF;2284;Örnsköldsvik;Kalle ankapartiet; ;1579;
KF;2284;Örnsköldsvik;Kapitalism med vänligt ansikte; ;1495;
KF;2284;Örnsköldsvik;Klassiskt liberala partiet;KLP;638;0.0
KF;2284;Örnsköldsvik;Knapptryckarna; ;1505;
KF;2284;Örnsköldsvik;Kristdemokraterna;KD;68;7.380534736618295
KF;2284;Örnsköldsvik;Kristna Värdepartiet; ;1551;
KF;2284;Örnsköldsvik;Kärlek; ;1465;
KF;2284;Örnsköldsvik;Landsbygdspartiet Oberoende;LPo;1011;0.31361292723116996
KF;2284;Örnsköldsvik;Liberalerna (tidigare Folkpartiet);L;3;2.5567426779354703
KF;2284;Örnsköldsvik;Lokal Framtid; ;1462;
KF;2284;Örnsköldsvik;Majspartiet; ;1471;
KF;2284;Örnsköldsvik;Medborgarresan; ;1330;
KF;2284;Örnsköldsvik;Medborgerlig Samling;MED;1296;0.0
KF;2284;Örnsköldsvik;Miljöpartiet de gröna;MP;55;1.9162281401158772
KF;2284;Örnsköldsvik;Min röst; ;1437;
KF;2284;Örnsköldsvik;MITT SVERIGE; ;1591;
KF;2284;Örnsköldsvik;Moderaterna;M;1;11.449529580609154
KF;2284;Örnsköldsvik;Monisterna; ;1502;
KF;2284;Örnsköldsvik;Mälaröarnas parti; ;1440;
KF;2284;Örnsköldsvik;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2284;Örnsköldsvik;NaturFilosoferna; ;1460;
KF;2284;Örnsköldsvik;Nix to the Six; ;1519;
KF;2284;Örnsköldsvik;NY REFORM; ;1528;
KF;2284;Örnsköldsvik;Nya Frihetspartiet; ;1443;
KF;2284;Örnsköldsvik;Nya Samhällspartiet; ;1438;
KF;2284;Örnsköldsvik;OK; ;1478;
KF;2284;Örnsköldsvik;Ond Kyckling Partiet; ;1472;
KF;2284;Örnsköldsvik;Partiet Folkomröstning; ;1578;
KF;2284;Örnsköldsvik;Partiet Nyans; ;1439;
KF;2284;Örnsköldsvik;Partiet Vändpunkt;PV;1430;
KF;2284;Örnsköldsvik;Pax; ;1491;
KF;2284;Örnsköldsvik;Piratpartiet;PP;524;0.0
KF;2284;Örnsköldsvik;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2284;Örnsköldsvik;Rastliberalerna; ;1508;
KF;2284;Örnsköldsvik;Rikspolitiska partiet; ;1496;
KF;2284;Örnsköldsvik;SKP; ;1586;
KF;2284;Örnsköldsvik;SKÅNEPARTIET;SKÅ;54;0.0
KF;2284;Örnsköldsvik;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2284;Örnsköldsvik;Sociallibertarianerna; ;1507;
KF;2284;Örnsköldsvik;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2284;Örnsköldsvik;Stram Kurs Sverige; ;1592;
KF;2284;Örnsköldsvik;Svenska Rikslagen; ;1513;
KF;2284;Örnsköldsvik;SVENSKARNA; ;1444;
KF;2284;Örnsköldsvik;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2284;Örnsköldsvik;Sverigedemokraterna;SD;110;7.12804975283049
KF;2284;Örnsköldsvik;Sverigepartiet; ;1457;
KF;2284;Örnsköldsvik;Swexitpartiet; ;1461;
KF;2284;Örnsköldsvik;Säkerhetspartiet; ;1466;
KF;2284;Örnsköldsvik;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2284;Örnsköldsvik;Valsamverkanspartiet; ;1526;
KF;2284;Örnsköldsvik;Vinningspartiet; ;1468;
KF;2284;Örnsköldsvik;Vänsterpartiet;V;5;7.069579546058577
KF;2284;Örnsköldsvik;Yggdrasil; ;1454;
KF;2284;Örnsköldsvik;Ändrings partiet revolution; ;1404;
