VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;117;Österåker;Alternativ för Sverige;AfS;1325;
KF;117;Österåker;ANDOPARTIET; ;1602;
KF;117;Österåker;Arbetarepartiet-Socialdemokraterna;S;2;17.446024036586664
KF;117;Österåker;Basinkomstpartiet; ;1525;
KF;117;Österåker;Centerpartiet;C;4;6.2537667954763
KF;117;Österåker;Common sense in Sweden;CSIS;1318;0.0
KF;117;Österåker;Direktdemokraterna;DD;1150;0.0
KF;117;Österåker;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;117;Österåker;Enad Politik; ;1589;
KF;117;Österåker;Enade Sverige; ;1448;
KF;117;Österåker;Enhet;ENH;189;0.0
KF;117;Österåker;EUSEC; ;1534;
KF;117;Österåker;Feministiskt initiativ;FI;532;0.18789662140603397
KF;117;Österåker;FOLKOMROSTA2021.SE; ;1489;
KF;117;Österåker;FramtidsTro;FT;1449;
KF;117;Österåker;Fredspartiet; ;1484;
KF;117;Österåker;Fria Wermland; ;1548;
KF;117;Österåker;Frihetsrörelsen; ;1573;
KF;117;Österåker;Fritt val; ;1479;
KF;117;Österåker;Förenade Demokratiska Partiet; ;1577;
KF;117;Österåker;Företaget Sverige; ;1510;
KF;117;Österåker;GRÖNA DEMOKRATER; ;1601;
KF;117;Österåker;Gula västarna; ;1436;
KF;117;Österåker;Humanistisk demokrati (HD);HD;1480;
KF;117;Österåker;John Mikkonen; ;1598;
KF;117;Österåker;Kalle ankapartiet; ;1579;
KF;117;Österåker;Kapitalism med vänligt ansikte; ;1495;
KF;117;Österåker;Klassiskt liberala partiet;KLP;638;0.0
KF;117;Österåker;Knapptryckarna; ;1505;
KF;117;Österåker;Kristdemokraterna;KD;68;4.208175275640799
KF;117;Österåker;Kristna Värdepartiet; ;1551;
KF;117;Österåker;Kärlek; ;1465;
KF;117;Österåker;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;117;Österåker;Liberalerna (tidigare Folkpartiet);L;3;7.781756301627256
KF;117;Österåker;Majspartiet; ;1471;
KF;117;Österåker;Medborgarresan; ;1330;
KF;117;Österåker;Medborgerlig Samling;MED;1296;0.0
KF;117;Österåker;Miljöpartiet de gröna;MP;55;4.782500797674336
KF;117;Österåker;Min röst; ;1437;
KF;117;Österåker;MITT SVERIGE; ;1591;
KF;117;Österåker;Moderaterna;M;1;33.82139185308611
KF;117;Österåker;Monisterna; ;1502;
KF;117;Österåker;Mälaröarnas parti; ;1440;
KF;117;Österåker;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;117;Österåker;NaturFilosoferna; ;1460;
KF;117;Österåker;Nix to the Six; ;1519;
KF;117;Österåker;NY REFORM; ;1528;
KF;117;Österåker;Nya Frihetspartiet; ;1443;
KF;117;Österåker;Nya Samhällspartiet; ;1438;
KF;117;Österåker;OK; ;1478;
KF;117;Österåker;Ond Kyckling Partiet; ;1472;
KF;117;Österåker;Partiet Folkomröstning; ;1578;
KF;117;Österåker;Partiet Nyans; ;1439;
KF;117;Österåker;Partiet Vändpunkt;PV;1430;
KF;117;Österåker;Pax; ;1491;
KF;117;Österåker;Piratpartiet;PP;524;0.0
KF;117;Österåker;Positivt Samhällsinitiativ (PSI); ;1475;
KF;117;Österåker;Rastliberalerna; ;1508;
KF;117;Österåker;Rikspolitiska partiet; ;1496;
KF;117;Österåker;Roslagspartiet;ROSP;465;9.710355585492962
KF;117;Österåker;SKP; ;1586;
KF;117;Österåker;SKÅNEPARTIET;SKÅ;54;0.0
KF;117;Österåker;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;117;Österåker;Sociallibertarianerna; ;1507;
KF;117;Österåker;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;117;Österåker;Stram Kurs Sverige; ;1592;
KF;117;Österåker;Svenska Rikslagen; ;1513;
KF;117;Österåker;SVENSKARNA; ;1444;
KF;117;Österåker;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;117;Österåker;Sverigedemokraterna;SD;110;9.210479668167476
KF;117;Österåker;Sverigepartiet; ;1457;
KF;117;Österåker;Swexitpartiet; ;1461;
KF;117;Österåker;Säkerhetspartiet; ;1466;
KF;117;Österåker;TRYGGHETSPARTIET;TRP;1309;0.0
KF;117;Österåker;Valsamverkanspartiet; ;1526;
KF;117;Österåker;Vinningspartiet; ;1468;
KF;117;Österåker;Vänsterpartiet;V;5;4.938490445634063
KF;117;Österåker;Yggdrasil; ;1454;
KF;117;Österåker;Ändrings partiet revolution; ;1404;
