VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;382;Östhammar;Alternativ för Sverige;AfS;1325;
KF;382;Östhammar;ANDOPARTIET; ;1602;
KF;382;Östhammar;Arbetarepartiet-Socialdemokraterna;S;2;31.152985833389817
KF;382;Östhammar;Basinkomstpartiet; ;1525;
KF;382;Östhammar;Centerpartiet;C;4;14.68175964210669
KF;382;Östhammar;Common sense in Sweden;CSIS;1318;0.0
KF;382;Östhammar;Direktdemokraterna;DD;1150;0.0
KF;382;Östhammar;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;382;Östhammar;Enad Politik; ;1589;
KF;382;Östhammar;Enade Sverige; ;1448;
KF;382;Östhammar;Enhet;ENH;189;0.0
KF;382;Östhammar;EUSEC; ;1534;
KF;382;Östhammar;Feministiskt initiativ;FI;532;0.2846878600962516
KF;382;Östhammar;FOLKOMROSTA2021.SE; ;1489;
KF;382;Östhammar;FramtidsTro;FT;1449;
KF;382;Östhammar;Fredspartiet; ;1484;
KF;382;Östhammar;Fria Wermland; ;1548;
KF;382;Östhammar;Frihetsrörelsen; ;1573;
KF;382;Östhammar;Fritt val; ;1479;
KF;382;Östhammar;Förenade Demokratiska Partiet; ;1577;
KF;382;Östhammar;Företaget Sverige; ;1510;
KF;382;Östhammar;GRÖNA DEMOKRATER; ;1601;
KF;382;Östhammar;Gula västarna; ;1436;
KF;382;Östhammar;Humanistisk demokrati (HD);HD;1480;
KF;382;Östhammar;John Mikkonen; ;1598;
KF;382;Östhammar;Kalle ankapartiet; ;1579;
KF;382;Östhammar;Kapitalism med vänligt ansikte; ;1495;
KF;382;Östhammar;Klassiskt liberala partiet;KLP;638;0.0
KF;382;Östhammar;Knapptryckarna; ;1505;
KF;382;Östhammar;Kristdemokraterna;KD;68;6.114010709686165
KF;382;Östhammar;Kristna Värdepartiet; ;1551;
KF;382;Östhammar;Kärlek; ;1465;
KF;382;Östhammar;Landsbygdspartiet Oberoende;LPo;1011;1.7826882667931945
KF;382;Östhammar;Liberalerna (tidigare Folkpartiet);L;3;3.4840371449874605
KF;382;Östhammar;Lokalpartiet BoA;BoA;667;5.7005354843082765
KF;382;Östhammar;Majspartiet; ;1471;
KF;382;Östhammar;Medborgarresan; ;1330;
KF;382;Östhammar;Medborgerlig Samling;MED;1296;0.0
KF;382;Östhammar;Miljöpartiet de gröna;MP;55;2.3995119636684064
KF;382;Östhammar;Min röst; ;1437;
KF;382;Östhammar;MITT SVERIGE; ;1591;
KF;382;Östhammar;Moderaterna;M;1;14.688537924489934
KF;382;Östhammar;Monisterna; ;1502;
KF;382;Östhammar;Mälaröarnas parti; ;1440;
KF;382;Östhammar;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;382;Östhammar;NaturFilosoferna; ;1460;
KF;382;Östhammar;Nix to the Six; ;1519;
KF;382;Östhammar;NY REFORM; ;1528;
KF;382;Östhammar;Nya Frihetspartiet; ;1443;
KF;382;Östhammar;Nya Samhällspartiet; ;1438;
KF;382;Östhammar;OK; ;1478;
KF;382;Östhammar;Ond Kyckling Partiet; ;1472;
KF;382;Östhammar;Ostkustens Framtid; ;1594;
KF;382;Östhammar;Partiet Folkomröstning; ;1578;
KF;382;Östhammar;Partiet Nyans; ;1439;
KF;382;Östhammar;Partiet Vändpunkt;PV;1430;
KF;382;Östhammar;Pax; ;1491;
KF;382;Östhammar;Piratpartiet;PP;524;0.0
KF;382;Östhammar;Positivt Samhällsinitiativ (PSI); ;1475;
KF;382;Östhammar;Rastliberalerna; ;1508;
KF;382;Östhammar;Rikspolitiska partiet; ;1496;
KF;382;Östhammar;SKP; ;1586;
KF;382;Östhammar;SKÅNEPARTIET;SKÅ;54;0.0
KF;382;Östhammar;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;382;Östhammar;Sociallibertarianerna; ;1507;
KF;382;Östhammar;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;382;Östhammar;Stram Kurs Sverige; ;1592;
KF;382;Östhammar;Svenska Rikslagen; ;1513;
KF;382;Östhammar;SVENSKARNA; ;1444;
KF;382;Östhammar;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;382;Östhammar;Sverigedemokraterna;SD;110;15.034230326035383
KF;382;Östhammar;Sverigepartiet; ;1457;
KF;382;Östhammar;Swexitpartiet; ;1461;
KF;382;Östhammar;Säkerhetspartiet; ;1466;
KF;382;Östhammar;TRYGGHETSPARTIET;TRP;1309;0.0
KF;382;Östhammar;Valsamverkanspartiet; ;1526;
KF;382;Östhammar;Vinningspartiet; ;1468;
KF;382;Östhammar;Vänsterpartiet;V;5;3.9924083237307664
KF;382;Östhammar;Yggdrasil; ;1454;
KF;382;Östhammar;Ändrings partiet revolution; ;1404;
