VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
RF;23;Jämtland;Alternativ för Sverige;AfS;1325;
RF;23;Jämtland;ANDOPARTIET; ;1602;
RF;23;Jämtland;Arbetarepartiet-Socialdemokraterna;S;2;31.395835075687884
RF;23;Jämtland;Basinkomstpartiet; ;1525;
RF;23;Jämtland;Centerpartiet;C;4;20.41601452825004
RF;23;Jämtland;Common sense in Sweden;CSIS;1318;
RF;23;Jämtland;Direktdemokraterna;DD;1150;
RF;23;Jämtland;En Vis Avskaffar Asylrätten!;EVA;1482;
RF;23;Jämtland;Enad Politik; ;1589;
RF;23;Jämtland;Enade Sverige; ;1448;
RF;23;Jämtland;Enhet;ENH;189;0.0
RF;23;Jämtland;EUSEC; ;1534;
RF;23;Jämtland;Feministiskt initiativ;FI;532;0.2962998363182356
RF;23;Jämtland;FOLKOMROSTA2021.SE; ;1489;
RF;23;Jämtland;FramtidsTro;FT;1449;
RF;23;Jämtland;Fredspartiet; ;1484;
RF;23;Jämtland;Fria Wermland; ;1548;
RF;23;Jämtland;Frihetsrörelsen; ;1573;
RF;23;Jämtland;Fritt val; ;1479;
RF;23;Jämtland;Förenade Demokratiska Partiet; ;1577;
RF;23;Jämtland;Företaget Sverige; ;1510;
RF;23;Jämtland;GRÖNA DEMOKRATER; ;1601;
RF;23;Jämtland;Gula västarna; ;1436;
RF;23;Jämtland;Humanistisk demokrati (HD);HD;1480;
RF;23;Jämtland;John Mikkonen; ;1598;
RF;23;Jämtland;Kalle ankapartiet; ;1579;
RF;23;Jämtland;Kapitalism med vänligt ansikte; ;1495;
RF;23;Jämtland;Klassiskt liberala partiet;KLP;638;
RF;23;Jämtland;Knapptryckarna; ;1505;
RF;23;Jämtland;Kristdemokraterna;KD;68;7.344173765516912
RF;23;Jämtland;Kristna Värdepartiet; ;1551;
RF;23;Jämtland;Kärlek; ;1465;
RF;23;Jämtland;Landsbygdspartiet Oberoende;LPo;1011;0.6941540520197375
RF;23;Jämtland;Liberalerna (tidigare Folkpartiet);L;3;3.4731597749077054
RF;23;Jämtland;Majspartiet; ;1471;
RF;23;Jämtland;Medborgarresan; ;1330;
RF;23;Jämtland;Medborgerlig Samling;MED;1296;0.0
RF;23;Jämtland;Miljöpartiet de gröna;MP;55;3.4576279286490883
RF;23;Jämtland;Min röst; ;1437;
RF;23;Jämtland;MITT SVERIGE; ;1591;
RF;23;Jämtland;Moderaterna;M;1;15.0563328116226
RF;23;Jämtland;Monisterna; ;1502;
RF;23;Jämtland;Mälaröarnas parti; ;1440;
RF;23;Jämtland;Nationalsocialistiska reformistiska Partiet; ;1595;
RF;23;Jämtland;NaturFilosoferna; ;1460;
RF;23;Jämtland;Nix to the Six; ;1519;
RF;23;Jämtland;NY REFORM; ;1528;
RF;23;Jämtland;Nya Frihetspartiet; ;1443;
RF;23;Jämtland;Nya Samhällspartiet; ;1438;
RF;23;Jämtland;OK; ;1478;
RF;23;Jämtland;Ond Kyckling Partiet; ;1472;
RF;23;Jämtland;Partiet Folkomröstning; ;1578;
RF;23;Jämtland;Partiet Nyans; ;1439;
RF;23;Jämtland;Partiet Vändpunkt;PV;1430;
RF;23;Jämtland;Pax; ;1491;
RF;23;Jämtland;Piratpartiet;PP;524;0.0
RF;23;Jämtland;Positivt Samhällsinitiativ (PSI); ;1475;
RF;23;Jämtland;Rastliberalerna; ;1508;
RF;23;Jämtland;Rikspolitiska partiet; ;1496;
RF;23;Jämtland;SKP; ;1586;
RF;23;Jämtland;SKÅNEPARTIET;SKÅ;54;0.0
RF;23;Jämtland;Socialisterna-Välfärdspartiet;S-V;977;
RF;23;Jämtland;Sociallibertarianerna; ;1507;
RF;23;Jämtland;Stora Norrlands oberoende Frihetsparti; ;1559;
RF;23;Jämtland;Stram Kurs Sverige; ;1592;
RF;23;Jämtland;Svenska Rikslagen; ;1513;
RF;23;Jämtland;SVENSKARNA; ;1444;
RF;23;Jämtland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
RF;23;Jämtland;Sverigedemokraterna;SD;110;9.360924264328128
RF;23;Jämtland;Sverigepartiet; ;1457;
RF;23;Jämtland;Swexitpartiet; ;1461;
RF;23;Jämtland;Säkerhetspartiet; ;1466;
RF;23;Jämtland;TRYGGHETSPARTIET;TRP;1309;0.0
RF;23;Jämtland;Valsamverkanspartiet; ;1526;
RF;23;Jämtland;Vinningspartiet; ;1468;
RF;23;Jämtland;Vänsterpartiet;V;5;8.419455429575025
RF;23;Jämtland;Yggdrasil; ;1454;
RF;23;Jämtland;Ändrings partiet revolution; ;1404;
