VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
RF;7;Kronoberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
RF;7;Kronoberg;Alternativet;ALTER;510;;
RF;7;Kronoberg;ANDOPARTIET; ;1602;;
RF;7;Kronoberg;Arbetarepartiet-Socialdemokraterna;S;2;30.995197588371585;https://www.socialdemokraterna.se/
RF;7;Kronoberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
RF;7;Kronoberg;Centerpartiet;C;4;10.934906878111745;https://www.centerpartiet.se/
RF;7;Kronoberg;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/
RF;7;Kronoberg;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/
RF;7;Kronoberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
RF;7;Kronoberg;Enad Politik; ;1589;;
RF;7;Kronoberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
RF;7;Kronoberg;Enhet;ENH;189;0.0;https://www.enhet.se/
RF;7;Kronoberg;EUSEC; ;1534;;
RF;7;Kronoberg;Feministiskt initiativ;FI;532;0.2757979299120493;https://feministisktinitiativ.se/
RF;7;Kronoberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
RF;7;Kronoberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
RF;7;Kronoberg;Fredspartiet; ;1484;;
RF;7;Kronoberg;Fria Wermland; ;1548;;https://friawermland.se/
RF;7;Kronoberg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
RF;7;Kronoberg;Fritt val; ;1479;;
RF;7;Kronoberg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
RF;7;Kronoberg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
RF;7;Kronoberg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
RF;7;Kronoberg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
RF;7;Kronoberg;Humanistisk demokrati (HD);HD;1480;;
RF;7;Kronoberg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
RF;7;Kronoberg;Kalle ankapartiet; ;1579;;
RF;7;Kronoberg;Kapitalism med vänligt ansikte; ;1495;;
RF;7;Kronoberg;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/
RF;7;Kronoberg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
RF;7;Kronoberg;Kristdemokraterna;KD;68;7.529123138965277;https://kristdemokraterna.se/
RF;7;Kronoberg;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
RF;7;Kronoberg;Kärlek; ;1465;;
RF;7;Kronoberg;Landsbygdspartiet Oberoende;LPo;1011;0.31267788565610244;https://landsbygdspartiet.org/
RF;7;Kronoberg;Liberalerna (tidigare Folkpartiet);L;3;4.0399586303105135;https://www.liberalerna.se/
RF;7;Kronoberg;Majspartiet; ;1471;;
RF;7;Kronoberg;Medborgarresan; ;1330;;https://citizenwell.se/
RF;7;Kronoberg;Medborgerlig Samling;MED;1296;0.1619511100064941;https://www.medborgerligsamling.se/
RF;7;Kronoberg;Miljöpartiet de gröna;MP;55;2.93355995798892;https://www.mp.se/
RF;7;Kronoberg;Min röst; ;1437;;
RF;7;Kronoberg;MITT SVERIGE; ;1591;;
