VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
RF;1;Stockholm;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
RF;1;Stockholm;ANARKISTERNA; ;1628;;
RF;1;Stockholm;ANDOPARTIET; ;1602;;
RF;1;Stockholm;Arbetarepartiet-Socialdemokraterna;S;2;26.23279417658105;https://www.socialdemokraterna.se/
RF;1;Stockholm;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
RF;1;Stockholm;Bjornpartiet; ;1629;;
RF;1;Stockholm;Centerpartiet;C;4;8.013984068239816;https://www.centerpartiet.se/
RF;1;Stockholm;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/
RF;1;Stockholm;Det minst dåliga partiet; ;1622;;
RF;1;Stockholm;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/
RF;1;Stockholm;Drivkraft; ;1621;;
RF;1;Stockholm;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
RF;1;Stockholm;Enad Politik; ;1589;;
RF;1;Stockholm;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
RF;1;Stockholm;Enhet;ENH;189;0.0;https://www.enhet.se/
RF;1;Stockholm;Enskild person/Riksdagen val; ;1614;;
RF;1;Stockholm;Eropean radical reflektion a european dream party ERR; ;1626;;
RF;1;Stockholm;Europeiska Arbetarpartiet-EAP;EAP;29;;
RF;1;Stockholm;EUSEC; ;1534;;
RF;1;Stockholm;FAMILJENS FRIHET; ;1606;;
RF;1;Stockholm;Fattigmans parti; ;1618;;
RF;1;Stockholm;Feministiskt initiativ;FI;532;1.056972411850328;https://feministisktinitiativ.se/
RF;1;Stockholm;FN Parti art.27; ;1631;;
RF;1;Stockholm;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
RF;1;Stockholm;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
RF;1;Stockholm;Fredspartiet; ;1484;;
RF;1;Stockholm;Fria Wermland; ;1548;;https://friawermland.se/
RF;1;Stockholm;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
RF;1;Stockholm;Fritt val; ;1479;;
RF;1;Stockholm;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
RF;1;Stockholm;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
RF;1;Stockholm;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
RF;1;Stockholm;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
RF;1;Stockholm;Humanistisk demokrati (HD);HD;1480;;
RF;1;Stockholm;Invandrarpartiet; ;1624;;
RF;1;Stockholm;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
RF;1;Stockholm;Kalle ankapartiet; ;1579;;
RF;1;Stockholm;Kapitalism med vänligt ansikte; ;1495;;
RF;1;Stockholm;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/
RF;1;Stockholm;Knapptryckarna; ;1505;;https://knapptryckarna.se/
RF;1;Stockholm;Kristdemokraterna;KD;68;7.743494369758311;https://kristdemokraterna.se/
RF;1;Stockholm;Kristna Värdepartiet;KrVP;1551;0.094200736856021;https://www.kristnavardepartiet.se/
RF;1;Stockholm;KSP; ;1612;;
RF;1;Stockholm;Kärlek; ;1465;;http://www.karlekspartiet.se/
RF;1;Stockholm;Landsbygdspartiet Oberoende;LPo;1011;6.921435478032402e-05;https://landsbygdspartiet.org/
RF;1;Stockholm;Liberalerna (tidigare Folkpartiet);L;3;8.011284708403384;https://www.liberalerna.se/
RF;1;Stockholm;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
RF;1;Stockholm;Medborgarresan; ;1330;;https://citizenwell.se/
RF;1;Stockholm;Medborgerlig Samling;MED;1296;0.4144555564245802;https://www.medborgerligsamling.se/
RF;1;Stockholm;Miljöpartiet de gröna;MP;55;5.634325336537496;https://www.mp.se/
RF;1;Stockholm;Min röst; ;1437;;
RF;1;Stockholm;MITT SVERIGE; ;1591;;
RF;1;Stockholm;MoD; ;1568;;https://partietmod.se/
RF;1;Stockholm;Moderaterna;M;1;22.272002724277005;https://moderaterna.se/
RF;1;Stockholm;Monisterna; ;1502;;
RF;1;Stockholm;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
RF;1;Stockholm;Nationalsocialistiska reformistiska Partiet; ;1595;;
RF;1;Stockholm;NaturFilosoferna; ;1460;;
RF;1;Stockholm;Naturistpartiet; ;1627;;
RF;1;Stockholm;Neoteknokraterna; ;1613;;
RF;1;Stockholm;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
RF;1;Stockholm;Nu får det fan vara nog; ;1623;;
RF;1;Stockholm;Ny Demokrati; ;1596;;
RF;1;Stockholm;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
RF;1;Stockholm;Nya Frihetspartiet; ;1443;;
RF;1;Stockholm;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
RF;1;Stockholm;OK; ;1478;;
RF;1;Stockholm;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
RF;1;Stockholm;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
RF;1;Stockholm;Partiet Frihet; ;1599;;
RF;1;Stockholm;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
RF;1;Stockholm;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
RF;1;Stockholm;Pax; ;1491;;https://www.paxpartiet.se/
RF;1;Stockholm;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
RF;1;Stockholm;Politiskt Skifte; ;1617;;
RF;1;Stockholm;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
RF;1;Stockholm;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
RF;1;Stockholm;Reformpartiet; ;1616;;
RF;1;Stockholm;Rikspolitiska partiet; ;1496;;
RF;1;Stockholm;SKP;Skp;1586;;https://skp.se
RF;1;Stockholm;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
RF;1;Stockholm;Socialisterna-Välfärdspartiet;S-V;977;;https://www.valfardspartiet.org/
RF;1;Stockholm;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
RF;1;Stockholm;Stora Norrlands oberoende Frihetsparti; ;1559;;
RF;1;Stockholm;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
RF;1;Stockholm;Svensk Jobbdemokrati; ;1603;;
RF;1;Stockholm;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
RF;1;Stockholm;SVENSKARNA; ;1444;;https://svenskarna.org/
RF;1;Stockholm;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
RF;1;Stockholm;Sverigedemokraterna;SD;110;9.743512365490552;https://sd.se/
RF;1;Stockholm;Sverigepartiet; ;1457;;https://sverigepartiet.se/
RF;1;Stockholm;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
RF;1;Stockholm;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
RF;1;Stockholm;Telgelistan;Teli;1537;;https://telgelistan.se/
RF;1;Stockholm;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
RF;1;Stockholm;Upprorsdemokraterna; ;1630;;
RF;1;Stockholm;Valsamverkanspartiet; ;1526;;
RF;1;Stockholm;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
RF;1;Stockholm;Volt Sverige;Volt;1610;;
RF;1;Stockholm;Vägval Stockholm; ;1499;;https://vagvalstockholm.se/
RF;1;Stockholm;Vänsterpartiet;V;5;10.574845980757026;https://www.vansterpartiet.se/
RF;1;Stockholm;Yggdrasil; ;1454;;
RF;1;Stockholm;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
