VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
RF;4;Södermanland;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
RF;4;Södermanland;ANDOPARTIET; ;1602;;
RF;4;Södermanland;Arbetarepartiet-Socialdemokraterna;S;2;28.725285063176166;https://www.socialdemokraterna.se/
RF;4;Södermanland;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
RF;4;Södermanland;Centerpartiet;C;4;5.3552408912245415;https://www.centerpartiet.se/
RF;4;Södermanland;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/
RF;4;Södermanland;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/
RF;4;Södermanland;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
RF;4;Södermanland;Enad Politik; ;1589;;
RF;4;Södermanland;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
RF;4;Södermanland;Enhet;ENH;189;0.0;https://www.enhet.se/
RF;4;Södermanland;EUSEC; ;1534;;
RF;4;Södermanland;Feministiskt initiativ;FI;532;0.25411037040641443;https://feministisktinitiativ.se/
RF;4;Södermanland;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
RF;4;Södermanland;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
RF;4;Södermanland;Fredspartiet; ;1484;;
RF;4;Södermanland;Fria Wermland; ;1548;;https://friawermland.se/
RF;4;Södermanland;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
RF;4;Södermanland;Fritt val; ;1479;;
RF;4;Södermanland;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
RF;4;Södermanland;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
RF;4;Södermanland;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
RF;4;Södermanland;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
RF;4;Södermanland;Humanistisk demokrati (HD);HD;1480;;
RF;4;Södermanland;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
RF;4;Södermanland;Kalle ankapartiet; ;1579;;
RF;4;Södermanland;Kapitalism med vänligt ansikte; ;1495;;
RF;4;Södermanland;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/
RF;4;Södermanland;Knapptryckarna; ;1505;;https://knapptryckarna.se/
RF;4;Södermanland;Kristdemokraterna;KD;68;4.651301099162517;https://kristdemokraterna.se/
RF;4;Södermanland;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
RF;4;Södermanland;Kärlek; ;1465;;
RF;4;Södermanland;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
RF;4;Södermanland;Liberalerna (tidigare Folkpartiet);L;3;3.8294973480609213;https://www.liberalerna.se/
RF;4;Södermanland;Majspartiet; ;1471;;
RF;4;Södermanland;Medborgarresan; ;1330;;https://citizenwell.se/
