VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
RF;22;Västernorrland;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
RF;22;Västernorrland;ANDOPARTIET; ;1602;;
RF;22;Västernorrland;Arbetarepartiet-Socialdemokraterna;S;2;35.44260775529121;https://www.socialdemokraterna.se/
RF;22;Västernorrland;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
RF;22;Västernorrland;Centerpartiet;C;4;9.68762552139657;https://www.centerpartiet.se/
RF;22;Västernorrland;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/
RF;22;Västernorrland;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/
RF;22;Västernorrland;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
RF;22;Västernorrland;Enad Politik; ;1589;;
RF;22;Västernorrland;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
RF;22;Västernorrland;Enhet;ENH;189;0.0;https://www.enhet.se/
RF;22;Västernorrland;EUSEC; ;1534;;
RF;22;Västernorrland;Feministiskt initiativ;FI;532;0.3114475513672177;https://feministisktinitiativ.se/
RF;22;Västernorrland;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
RF;22;Västernorrland;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
RF;22;Västernorrland;Fredspartiet; ;1484;;
RF;22;Västernorrland;Fria Wermland; ;1548;;https://friawermland.se/
RF;22;Västernorrland;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
RF;22;Västernorrland;Fritt val; ;1479;;
RF;22;Västernorrland;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
RF;22;Västernorrland;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
RF;22;Västernorrland;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
RF;22;Västernorrland;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
RF;22;Västernorrland;Humanistisk demokrati (HD);HD;1480;;
RF;22;Västernorrland;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
RF;22;Västernorrland;Kalle ankapartiet; ;1579;;
RF;22;Västernorrland;Kapitalism med vänligt ansikte; ;1495;;
RF;22;Västernorrland;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/
RF;22;Västernorrland;Knapptryckarna; ;1505;;https://knapptryckarna.se/
RF;22;Västernorrland;Kristdemokraterna;KD;68;5.816777382975436;https://kristdemokraterna.se/
RF;22;Västernorrland;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
RF;22;Västernorrland;Kärlek; ;1465;;http://www.karlekspartiet.se/
RF;22;Västernorrland;Landsbygdspartiet Oberoende;LPo;1011;0.041402749884134095;https://landsbygdspartiet.org/
RF;22;Västernorrland;Liberalerna (tidigare Folkpartiet);L;3;3.7169782172099493;https://www.liberalerna.se/
RF;22;Västernorrland;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
RF;22;Västernorrland;Medborgarresan; ;1330;;https://citizenwell.se/
RF;22;Västernorrland;Medborgerlig Samling;MED;1296;0.09701838405685154;https://www.medborgerligsamling.se/
RF;22;Västernorrland;Miljöpartiet de gröna;MP;55;2.338328441217364;https://www.mp.se/
RF;22;Västernorrland;Min röst; ;1437;;
RF;22;Västernorrland;MITT SVERIGE; ;1591;;
RF;22;Västernorrland;Moderaterna;M;1;12.615479684844741;https://moderaterna.se/
RF;22;Västernorrland;Monisterna; ;1502;;
RF;22;Västernorrland;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
RF;22;Västernorrland;Nationalsocialistiska reformistiska Partiet; ;1595;;
RF;22;Västernorrland;NaturFilosoferna; ;1460;;
RF;22;Västernorrland;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
RF;22;Västernorrland;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
RF;22;Västernorrland;Nya Frihetspartiet; ;1443;;
RF;22;Västernorrland;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
RF;22;Västernorrland;OK; ;1478;;
RF;22;Västernorrland;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
RF;22;Västernorrland;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
RF;22;Västernorrland;Partiet Nyans; ;1439;;https://www.partietnyans.se/
RF;22;Västernorrland;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
RF;22;Västernorrland;Pax; ;1491;;https://www.paxpartiet.se/
RF;22;Västernorrland;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
RF;22;Västernorrland;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
RF;22;Västernorrland;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
RF;22;Västernorrland;Rikspolitiska partiet; ;1496;;
RF;22;Västernorrland;Sjukvårdspartiet - Västernorrland;SJVP;196;8.711880117410784;https://www.sjukvardspartiet.se/
RF;22;Västernorrland;SKP; ;1586;;https://skp.se
RF;22;Västernorrland;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
RF;22;Västernorrland;Socialisterna-Välfärdspartiet;S-V;977;;https://www.valfardspartiet.org/
RF;22;Västernorrland;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
RF;22;Västernorrland;Stora Norrlands oberoende Frihetsparti; ;1559;;
RF;22;Västernorrland;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
RF;22;Västernorrland;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
RF;22;Västernorrland;SVENSKARNA; ;1444;;https://svenskarna.org/
RF;22;Västernorrland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
RF;22;Västernorrland;Sverigedemokraterna;SD;110;10.456357175961687;https://sd.se/
RF;22;Västernorrland;Sverigepartiet; ;1457;;https://sverigepartiet.se/
RF;22;Västernorrland;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
RF;22;Västernorrland;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
RF;22;Västernorrland;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
RF;22;Västernorrland;Valsamverkanspartiet; ;1526;;
RF;22;Västernorrland;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
RF;22;Västernorrland;Vänsterpartiet;V;5;10.636799011277615;https://www.vansterpartiet.se/
RF;22;Västernorrland;Yggdrasil; ;1454;;
RF;22;Västernorrland;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
