VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
RF;14;Västra Götaland;Alternativ för Sverige;AfS;1325;
RF;14;Västra Götaland;ANDOPARTIET; ;1602;
RF;14;Västra Götaland;Arbetarepartiet-Socialdemokraterna;S;2;26.94606067953752
RF;14;Västra Götaland;Basinkomstpartiet; ;1525;
RF;14;Västra Götaland;Centerpartiet;C;4;7.6210818959972375
RF;14;Västra Götaland;Common sense in Sweden;CSIS;1318;
RF;14;Västra Götaland;Demokraterna;DEM;1297;3.4393338818301036
RF;14;Västra Götaland;Direktdemokraterna;DD;1150;
RF;14;Västra Götaland;En Vis Avskaffar Asylrätten!;EVA;1482;
RF;14;Västra Götaland;Enad Politik; ;1589;
RF;14;Västra Götaland;Enade Sverige; ;1448;
RF;14;Västra Götaland;Enhet;ENH;189;0.0
RF;14;Västra Götaland;EUSEC; ;1534;
RF;14;Västra Götaland;Feministiskt initiativ;FI;532;0.8009965489126158
RF;14;Västra Götaland;FOLKOMROSTA2021.SE; ;1489;
RF;14;Västra Götaland;FramtidsTro;FT;1449;
RF;14;Västra Götaland;Fredspartiet; ;1484;
RF;14;Västra Götaland;Fria Wermland; ;1548;
RF;14;Västra Götaland;Frihetsrörelsen; ;1573;
RF;14;Västra Götaland;Fritt val; ;1479;
RF;14;Västra Götaland;Förenade Demokratiska Partiet; ;1577;
RF;14;Västra Götaland;Företaget Sverige; ;1510;
RF;14;Västra Götaland;GRÖNA DEMOKRATER; ;1601;
RF;14;Västra Götaland;Gula västarna; ;1436;
RF;14;Västra Götaland;Humanistisk demokrati (HD);HD;1480;
RF;14;Västra Götaland;John Mikkonen; ;1598;
RF;14;Västra Götaland;Kalle ankapartiet; ;1579;
RF;14;Västra Götaland;Kapitalism med vänligt ansikte; ;1495;
RF;14;Västra Götaland;Klassiskt liberala partiet;KLP;638;
RF;14;Västra Götaland;Knapptryckarna; ;1505;
RF;14;Västra Götaland;Kristdemokraterna;KD;68;7.552411827910219
RF;14;Västra Götaland;Kristna Värdepartiet; ;1551;
RF;14;Västra Götaland;Kärlek; ;1465;
RF;14;Västra Götaland;Landsbygdspartiet Oberoende;LPo;1011;0.0
RF;14;Västra Götaland;Liberalerna (tidigare Folkpartiet);L;3;6.879223047229644
RF;14;Västra Götaland;Majspartiet; ;1471;
RF;14;Västra Götaland;Medborgarresan; ;1330;
RF;14;Västra Götaland;Medborgerlig Samling;MED;1296;0.23118305940886363
RF;14;Västra Götaland;Miljöpartiet de gröna;MP;55;4.631250063626243
RF;14;Västra Götaland;Min röst; ;1437;
RF;14;Västra Götaland;MITT SVERIGE; ;1591;
RF;14;Västra Götaland;Moderaterna;M;1;18.553597358330965
RF;14;Västra Götaland;Monisterna; ;1502;
RF;14;Västra Götaland;Mälaröarnas parti; ;1440;
RF;14;Västra Götaland;Nationalsocialistiska reformistiska Partiet; ;1595;
RF;14;Västra Götaland;NaturFilosoferna; ;1460;
RF;14;Västra Götaland;Nix to the Six; ;1519;
RF;14;Västra Götaland;NY REFORM; ;1528;
RF;14;Västra Götaland;Nya Frihetspartiet; ;1443;
RF;14;Västra Götaland;Nya Samhällspartiet; ;1438;
RF;14;Västra Götaland;OK; ;1478;
RF;14;Västra Götaland;Ond Kyckling Partiet; ;1472;
RF;14;Västra Götaland;Partiet Folkomröstning; ;1578;
RF;14;Västra Götaland;Partiet Nyans; ;1439;
RF;14;Västra Götaland;Partiet Vändpunkt;PV;1430;
RF;14;Västra Götaland;Pax; ;1491;
RF;14;Västra Götaland;Piratpartiet;PP;524;0.0
RF;14;Västra Götaland;Positivt Samhällsinitiativ (PSI); ;1475;
RF;14;Västra Götaland;Rastliberalerna; ;1508;
RF;14;Västra Götaland;Rikspolitiska partiet; ;1496;
RF;14;Västra Götaland;Sjukvårdspartiet - Västra Götaland;SPVG;447;0.3750015038930006
RF;14;Västra Götaland;SKP; ;1586;
RF;14;Västra Götaland;SKÅNEPARTIET;SKÅ;54;0.0
RF;14;Västra Götaland;Socialisterna-Välfärdspartiet;S-V;977;
RF;14;Västra Götaland;Sociallibertarianerna; ;1507;
RF;14;Västra Götaland;Stora Norrlands oberoende Frihetsparti; ;1559;
RF;14;Västra Götaland;Stram Kurs Sverige; ;1592;
RF;14;Västra Götaland;Svenska Rikslagen; ;1513;
RF;14;Västra Götaland;SVENSKARNA; ;1444;
RF;14;Västra Götaland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
RF;14;Västra Götaland;Sverigedemokraterna;SD;110;12.823256016266107
RF;14;Västra Götaland;Sverigepartiet; ;1457;
RF;14;Västra Götaland;Swexitpartiet; ;1461;
RF;14;Västra Götaland;Säkerhetspartiet; ;1466;
RF;14;Västra Götaland;TRYGGHETSPARTIET;TRP;1309;0.0
RF;14;Västra Götaland;Valsamverkanspartiet; ;1526;
RF;14;Västra Götaland;Vinningspartiet; ;1468;
RF;14;Västra Götaland;Vänsterpartiet;V;5;9.633244457113136
RF;14;Västra Götaland;Yggdrasil; ;1454;
RF;14;Västra Götaland;Ändrings partiet revolution; ;1404;
