VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
RF;5;Östergötland;Alternativ för Sverige;AfS;1325;
RF;5;Östergötland;ANDOPARTIET; ;1602;
RF;5;Östergötland;Arbetarepartiet-Socialdemokraterna;S;2;29.98538896448883
RF;5;Östergötland;Basinkomstpartiet; ;1525;
RF;5;Östergötland;Centerpartiet;C;4;7.887618735560318
RF;5;Östergötland;Common sense in Sweden;CSIS;1318;
RF;5;Östergötland;Direktdemokraterna;DD;1150;
RF;5;Östergötland;En Vis Avskaffar Asylrätten!;EVA;1482;
RF;5;Östergötland;Enad Politik; ;1589;
RF;5;Östergötland;Enade Sverige; ;1448;
RF;5;Östergötland;Enhet;ENH;189;0.0
RF;5;Östergötland;EUSEC; ;1534;
RF;5;Östergötland;Feministiskt initiativ;FI;532;0.3781483103691543
RF;5;Östergötland;FOLKOMROSTA2021.SE; ;1489;
RF;5;Östergötland;FramtidsTro;FT;1449;
RF;5;Östergötland;Fredspartiet; ;1484;
RF;5;Östergötland;Fria Wermland; ;1548;
RF;5;Östergötland;Frihetsrörelsen; ;1573;
RF;5;Östergötland;Fritt val; ;1479;
RF;5;Östergötland;Förenade Demokratiska Partiet; ;1577;
RF;5;Östergötland;Företaget Sverige; ;1510;
RF;5;Östergötland;GRÖNA DEMOKRATER; ;1601;
RF;5;Östergötland;Gula västarna; ;1436;
RF;5;Östergötland;Humanistisk demokrati (HD);HD;1480;
RF;5;Östergötland;John Mikkonen; ;1598;
RF;5;Östergötland;Kalle ankapartiet; ;1579;
RF;5;Östergötland;Kapitalism med vänligt ansikte; ;1495;
RF;5;Östergötland;Klassiskt liberala partiet;KLP;638;
RF;5;Östergötland;Knapptryckarna; ;1505;
RF;5;Östergötland;Kristdemokraterna;KD;68;7.469014239908523
RF;5;Östergötland;Kristna Värdepartiet; ;1551;
RF;5;Östergötland;Kärlek; ;1465;
RF;5;Östergötland;Landsbygdspartiet Oberoende;LPo;1011;0.3734674294273611
RF;5;Östergötland;Liberalerna (tidigare Folkpartiet);L;3;6.334234960162359
RF;5;Östergötland;Linköpingslistan; ;1458;
RF;5;Östergötland;Majspartiet; ;1471;
RF;5;Östergötland;Medborgarresan; ;1330;
RF;5;Östergötland;Medborgerlig Samling;MED;1296;0.25243322221813574
RF;5;Östergötland;Miljöpartiet de gröna;MP;55;3.927593458803232
RF;5;Östergötland;Min röst; ;1437;
RF;5;Östergötland;MITT SVERIGE; ;1591;
RF;5;Östergötland;Moderaterna;M;1;22.00916783967314
RF;5;Östergötland;Monisterna; ;1502;
RF;5;Östergötland;Mälaröarnas parti; ;1440;
RF;5;Östergötland;Nationalsocialistiska reformistiska Partiet; ;1595;
RF;5;Östergötland;NaturFilosoferna; ;1460;
RF;5;Östergötland;Nix to the Six; ;1519;
RF;5;Östergötland;NY REFORM; ;1528;
RF;5;Östergötland;Nya Frihetspartiet; ;1443;
RF;5;Östergötland;Nya Samhällspartiet; ;1438;
RF;5;Östergötland;OK; ;1478;
RF;5;Östergötland;Ond Kyckling Partiet; ;1472;
RF;5;Östergötland;Partiet Folkomröstning; ;1578;
RF;5;Östergötland;Partiet Nyans; ;1439;
RF;5;Östergötland;Partiet Vändpunkt;PV;1430;
RF;5;Östergötland;Pax; ;1491;
RF;5;Östergötland;Piratpartiet;PP;524;0.0
RF;5;Östergötland;Positivt Samhällsinitiativ (PSI); ;1475;
RF;5;Östergötland;Rastliberalerna; ;1508;
RF;5;Östergötland;Rikspolitiska partiet; ;1496;
RF;5;Östergötland;SKP; ;1586;
RF;5;Östergötland;SKÅNEPARTIET;SKÅ;54;0.0
RF;5;Östergötland;Socialisterna-Välfärdspartiet;S-V;977;
RF;5;Östergötland;Sociallibertarianerna; ;1507;
RF;5;Östergötland;Stora Norrlands oberoende Frihetsparti; ;1559;
RF;5;Östergötland;Stram Kurs Sverige; ;1592;
RF;5;Östergötland;Svenska Rikslagen; ;1513;
RF;5;Östergötland;SVENSKARNA; ;1444;
RF;5;Östergötland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
RF;5;Östergötland;Sverigedemokraterna;SD;110;13.0977735724149
RF;5;Östergötland;Sverigepartiet; ;1457;
RF;5;Östergötland;Swexitpartiet; ;1461;
RF;5;Östergötland;Säkerhetspartiet; ;1466;
RF;5;Östergötland;TRYGGHETSPARTIET;TRP;1309;0.09495501339066298
RF;5;Östergötland;Valsamverkanspartiet; ;1526;
RF;5;Östergötland;Vinningspartiet; ;1468;
RF;5;Östergötland;Vänsterpartiet;V;5;8.071844835483752
RF;5;Östergötland;Yggdrasil; ;1454;
RF;5;Östergötland;Ändrings partiet revolution; ;1404;
RF;5;Östergötland;Östgötapartiet; ;1544;
